"Fecha","Lon","Lat"
2002-01-01,-71.532050176496,-37.3387029269219
2002-01-02,-71.5320501387659,-37.3387029267135
2002-01-03,-71.5320500845121,-37.3387030040721
2002-01-04,-71.5320501381425,-37.3387029467412
2002-01-05,-71.5320501002634,-37.3387029304859
2002-01-06,-71.5320501137899,-37.3387029357884
2002-01-07,-71.5320501536105,-37.3387029949535
2002-01-08,-71.532050096481,-37.3387029503873
2002-01-09,-71.5320501436656,-37.3387029445155
2002-01-10,-71.5320500945534,-37.338702972136
2002-01-11,-71.5320500874388,-37.3387029706759
2002-01-12,-71.532050113758,-37.338702993064
2002-01-13,-71.5320500664128,-37.3387029417469
2002-01-14,-71.5320501354135,-37.3387029669871
2002-01-15,-71.5320501029265,-37.3387029352244
2002-01-16,-71.532050079433,-37.3387029539244
2002-01-17,-71.5320501061992,-37.3387028890767
2002-01-18,-71.5320501004029,-37.3387029432142
2002-01-19,-71.5320501265983,-37.3387029709296
2002-01-20,NA,NA
2002-01-21,-71.5320501363462,-37.3387029939353
2002-01-22,-71.5320500817716,-37.338702942217
2002-01-23,-71.5320501122577,-37.3387029577367
2002-01-24,-71.5320501034033,-37.3387029600404
2002-01-25,-71.5320501031087,-37.3387029888441
2002-01-26,-71.5320500915386,-37.3387029298633
2002-01-27,-71.532050074057,-37.3387029428487
2002-01-28,-71.5320500999558,-37.338702940709
2002-01-29,-71.532050109275,-37.3387029478245
2002-01-30,-71.532050078554,-37.3387029525911
2002-01-31,-71.5320500915746,-37.3387029544021
2002-02-01,-71.5320501032867,-37.3387029273729
2002-02-02,-71.5320501216683,-37.3387029468552
2002-02-03,-71.5320500380944,-37.3387029768522
2002-02-04,-71.5320500466554,-37.3387029935252
2002-02-05,-71.532050085466,-37.338702997494
2002-02-06,-71.5320500749179,-37.338702969581
2002-02-07,-71.5320500791919,-37.3387029696804
2002-02-08,NA,NA
2002-02-09,-71.5320501201903,-37.3387029409001
2002-02-10,-71.5320501274769,-37.3387028909296
2002-02-11,-71.5320500928574,-37.3387029278004
2002-02-12,-71.532050113088,-37.3387029061953
2002-02-13,-71.5320501035498,-37.3387029303252
2002-02-14,-71.5320500658622,-37.3387029168455
2002-02-15,-71.5320500814801,-37.3387029121421
2002-02-16,-71.5320500928614,-37.3387029349584
2002-02-17,-71.5320500795352,-37.3387029045147
2002-02-18,-71.5320500728224,-37.3387029704901
2002-02-19,-71.5320501722528,-37.3387029110476
2002-02-20,-71.5320501570453,-37.3387029104224
2002-02-21,-71.5320501001801,-37.3387029325765
2002-02-22,-71.5320500687025,-37.3387029289419
2002-02-23,-71.5320500554372,-37.338702945461
2002-02-24,-71.5320500982038,-37.3387029515206
2002-02-25,-71.5320501427128,-37.3387029072582
2002-02-26,-71.5320501149878,-37.3387029275719
2002-02-27,-71.5320500803596,-37.3387029596751
2002-02-28,-71.5320501154749,-37.3387029641123
2002-03-01,-71.5320500689148,-37.3387029101458
2002-03-02,-71.532050089897,-37.3387029381398
2002-03-03,-71.5320500741611,-37.3387029313891
2002-03-04,-71.5320500993639,-37.3387029598178
2002-03-05,-71.5320500729911,-37.3387029052773
2002-03-06,-71.5320500878536,-37.3387029266351
2002-03-07,-71.5320500740687,-37.3387029161442
2002-03-08,-71.5320500941983,-37.3387029370301
2002-03-09,-71.5320500927801,-37.3387028830146
2002-03-10,-71.5320500743494,-37.3387029250237
2002-03-11,-71.5320500539563,-37.3387029283382
2002-03-12,-71.5320500849985,-37.3387029532739
2002-03-13,-71.5320500838159,-37.3387029565174
2002-03-14,-71.5320500599637,-37.3387028533676
2002-03-15,-71.5320500164758,-37.3387028645152
2002-03-16,-71.5320500427646,-37.3387028856823
2002-03-17,-71.5320500683677,-37.338702897648
2002-03-18,-71.5320500652803,-37.3387029441871
2002-03-19,-71.5320500868244,-37.3387028520608
2002-03-20,-71.5320500538551,-37.3387029367769
2002-03-21,-71.532050030329,-37.3387028862496
2002-03-22,-71.5320500075247,-37.3387029117723
2002-03-23,-71.5320500378303,-37.3387028446049
2002-03-24,-71.5320500599863,-37.338702927837
2002-03-25,-71.5320500298068,-37.3387029224433
2002-03-26,-71.53205005319,-37.3387029267411
2002-03-27,-71.5320500092003,-37.3387028456224
2002-03-28,NA,NA
2002-03-29,NA,NA
2002-03-30,NA,NA
2002-03-31,NA,NA
2002-04-01,NA,NA
2002-04-02,-71.5320500415007,-37.338702934259
2002-04-03,-71.5320500096653,-37.3387029438844
2002-04-04,-71.5320500570193,-37.3387029209684
2002-04-05,-71.5320500205094,-37.3387028746136
2002-04-06,-71.5320500414737,-37.3387028462042
2002-04-07,-71.5320499763684,-37.3387029203282
2002-04-08,-71.5320499663816,-37.3387029079356
2002-04-09,-71.5320500388181,-37.3387029224756
2002-04-10,-71.5320499838266,-37.3387029253668
2002-04-11,-71.5320499935825,-37.3387029362437
2002-04-12,-71.5320499501534,-37.338702913732
2002-04-13,-71.532049902831,-37.338702925155
2002-04-14,-71.532050007622,-37.3387029632552
2002-04-15,-71.5320499977229,-37.3387029483872
2002-04-16,-71.5320500182411,-37.3387029195055
2002-04-17,-71.5320500042924,-37.3387029665078
2002-04-18,-71.5320500048869,-37.3387029257361
2002-04-19,-71.5320499841942,-37.3387029504931
2002-04-20,-71.5320499853132,-37.3387029461107
2002-04-21,-71.5320499977306,-37.3387029293977
2002-04-22,-71.5320500044383,-37.3387029435776
2002-04-23,-71.5320500020761,-37.3387029295012
2002-04-24,-71.5320500420721,-37.3387029373614
2002-04-25,-71.5320500330089,-37.3387029293201
2002-04-26,-71.5320500067125,-37.3387029245588
2002-04-27,-71.5320499997946,-37.3387029375088
2002-04-28,-71.5320500096821,-37.338702930625
2002-04-29,-71.5320499893958,-37.3387029482506
2002-04-30,-71.5320500313649,-37.3387029231219
2002-05-01,-71.5320500585198,-37.3387029292835
2002-05-02,-71.5320500527743,-37.3387029435647
2002-05-03,-71.5320500444215,-37.3387029234336
2002-05-04,-71.5320500336293,-37.338702949023
2002-05-05,-71.532050053011,-37.3387029150511
2002-05-06,-71.5320500233268,-37.338702932316
2002-05-07,-71.5320500329273,-37.3387029314133
2002-05-08,-71.5320500282733,-37.3387029447664
2002-05-09,-71.5320500377851,-37.3387029495513
2002-05-10,-71.5320500189741,-37.3387029546737
2002-05-11,-71.5320500658889,-37.3387028922052
2002-05-12,-71.5320500677333,-37.3387029419441
