"Fecha","Lon","Lat"
2011-01-28,-73.765475301838,-42.4819143687384
2011-01-29,NA,NA
2011-01-30,-73.7654753714725,-42.4819143475009
2011-01-31,-73.7654752987055,-42.4819143865213
2011-02-01,-73.7654752859352,-42.4819143662389
2011-02-02,-73.7654752841323,-42.4819143662938
2011-02-03,-73.7654753584573,-42.4819143625737
2011-02-04,-73.7654752852078,-42.4819143726987
2011-02-05,-73.7654752715638,-42.481914370214
2011-02-06,-73.7654752856273,-42.481914366157
2011-02-07,-73.765475287316,-42.481914345068
2011-02-08,-73.7654752927462,-42.4819143417384
2011-02-09,NA,NA
2011-02-10,-73.7654753224796,-42.4819143396344
2011-02-11,-73.7654752906558,-42.4819143480775
2011-02-12,-73.7654752886364,-42.4819143553711
2011-02-13,NA,NA
2011-02-14,-73.7654752658854,-42.4819143499959
2011-02-15,-73.7654752386695,-42.4819143281295
2011-02-16,-73.7654752901187,-42.4819143448058
2011-02-17,NA,NA
2011-02-18,NA,NA
2011-02-19,NA,NA
2011-02-20,NA,NA
2011-02-21,NA,NA
2011-02-22,NA,NA
2011-02-23,NA,NA
2011-02-24,NA,NA
2011-02-25,NA,NA
2011-02-26,NA,NA
2011-02-27,NA,NA
2011-02-28,NA,NA
2011-03-01,NA,NA
2011-03-02,NA,NA
2011-03-03,NA,NA
2011-03-04,NA,NA
2011-03-05,NA,NA
2011-03-06,NA,NA
2011-03-07,NA,NA
2011-03-08,NA,NA
2011-03-09,NA,NA
2011-03-10,NA,NA
2011-03-11,NA,NA
2011-03-12,NA,NA
2011-03-13,NA,NA
2011-03-14,NA,NA
2011-03-15,NA,NA
2011-03-16,NA,NA
2011-03-17,NA,NA
2011-03-18,NA,NA
2011-03-19,NA,NA
2011-03-20,NA,NA
2011-03-21,NA,NA
2011-03-22,NA,NA
2011-03-23,NA,NA
2011-03-24,NA,NA
2011-03-25,NA,NA
2011-03-26,NA,NA
2011-03-27,NA,NA
2011-03-28,NA,NA
2011-03-29,NA,NA
2011-03-30,NA,NA
2011-03-31,NA,NA
2011-04-01,NA,NA
2011-04-02,NA,NA
2011-04-03,NA,NA
2011-04-04,NA,NA
2011-04-05,NA,NA
2011-04-06,NA,NA
2011-04-07,NA,NA
2011-04-08,NA,NA
2011-04-09,NA,NA
2011-04-10,NA,NA
2011-04-11,NA,NA
2011-04-12,NA,NA
2011-04-13,NA,NA
2011-04-14,NA,NA
2011-04-15,NA,NA
2011-04-16,NA,NA
2011-04-17,NA,NA
