"Fecha","Lon","Lat"
2010-05-03,-72.3987104754853,-37.0405411320377
2010-05-04,-72.3987105160013,-37.0405411179349
2010-05-05,-72.3987105407826,-37.0405410987766
2010-05-06,-72.3987105222697,-37.0405410969241
2010-05-07,-72.3987105313586,-37.0405411075649
2010-05-08,-72.3987105557822,-37.0405411110414
2010-05-09,-72.398710554648,-37.0405411109377
2010-05-10,-72.3987105859698,-37.0405410962444
2010-05-11,-72.3987105839015,-37.0405411049093
2010-05-12,-72.3987105985417,-37.0405411201207
2010-05-13,-72.3987106139152,-37.0405410994683
2010-05-14,-72.3987106536949,-37.0405411150946
2010-05-15,-72.3987106108998,-37.0405411075285
2010-05-16,-72.3987106249754,-37.0405411166946
2010-05-17,-72.3987106217108,-37.0405411068629
2010-05-18,-72.3987106262643,-37.0405411093923
2010-05-19,-72.3987106290083,-37.0405411150877
2010-05-20,-72.3987106476258,-37.0405410954795
2010-05-21,-72.3987106646265,-37.0405410921674
2010-05-22,-72.3987106849765,-37.0405411076581
2010-05-23,-72.398710700444,-37.0405411036682
2010-05-24,-72.3987106836363,-37.0405411165423
2010-05-25,-72.398710678727,-37.0405411329914
2010-05-26,-72.3987107096996,-37.0405410983774
2010-05-27,-72.3987107044216,-37.0405410990939
2010-05-28,-72.3987107281187,-37.0405410754803
2010-05-29,-72.3987107301797,-37.0405410897585
2010-05-30,-72.398710729254,-37.040541112416
2010-05-31,-72.3987107092419,-37.0405410967675
2010-06-01,-72.3987107264618,-37.0405411124269
2010-06-02,-72.3987107775504,-37.0405410929441
2010-06-03,-72.3987107574053,-37.040541116535
2010-06-04,-72.3987107554421,-37.0405411149389
2010-06-05,-72.3987107609048,-37.0405411165395
2010-06-06,-72.3987107741887,-37.0405410990854
2010-06-07,-72.3987107643102,-37.0405411067835
2010-06-08,-72.3987107823591,-37.0405411204111
2010-06-09,-72.3987108013269,-37.0405410894189
2010-06-10,-72.3987107992362,-37.040541098055
2010-06-11,-72.3987108142411,-37.0405410982376
2010-06-12,-72.3987108117637,-37.0405411116433
2010-06-13,-72.3987108282586,-37.0405411100817
2010-06-14,-72.3987108769,-37.0405411108263
2010-06-15,-72.3987108829705,-37.0405411377433
2010-06-16,-72.3987108478916,-37.0405411422362
2010-06-17,-72.3987108634125,-37.0405411244032
2010-06-18,-72.3987108606054,-37.0405411372038
2010-06-19,NA,NA
2010-06-20,NA,NA
2010-06-21,NA,NA
2010-06-22,NA,NA
2010-06-23,NA,NA
2010-06-24,NA,NA
2010-06-25,NA,NA
2010-06-26,NA,NA
2010-06-27,NA,NA
2010-06-28,NA,NA
2010-06-29,NA,NA
2010-06-30,NA,NA
2010-07-01,NA,NA
2010-07-02,NA,NA
2010-07-03,NA,NA
2010-07-04,NA,NA
2010-07-05,NA,NA
2010-07-06,NA,NA
2010-07-07,NA,NA
2010-07-08,NA,NA
2010-07-09,NA,NA
2010-07-10,NA,NA
2010-07-11,NA,NA
2010-07-12,NA,NA
2010-07-13,NA,NA
2010-07-14,NA,NA
2010-07-15,NA,NA
2010-07-16,NA,NA
2010-07-17,NA,NA
2010-07-18,NA,NA
2010-07-19,NA,NA
2010-07-20,NA,NA
2010-07-21,NA,NA
2010-07-22,NA,NA
2010-07-23,NA,NA
2010-07-24,NA,NA
2010-07-25,NA,NA
2010-07-26,NA,NA
2010-07-27,NA,NA
2010-07-28,NA,NA
2010-07-29,NA,NA
2010-07-30,NA,NA
2010-07-31,NA,NA
2010-08-01,NA,NA
2010-08-02,NA,NA
2010-08-03,NA,NA
2010-08-04,NA,NA
2010-08-05,NA,NA
2010-08-06,NA,NA
2010-08-07,NA,NA
2010-08-08,NA,NA
2010-08-09,NA,NA
2010-08-10,NA,NA
2010-08-11,NA,NA
2010-08-12,NA,NA
2010-08-13,NA,NA
2010-08-14,NA,NA
2010-08-15,NA,NA
2010-08-16,NA,NA
2010-08-17,NA,NA
2010-08-18,NA,NA
2010-08-19,NA,NA
2010-08-20,NA,NA
2010-08-21,NA,NA
2010-08-22,NA,NA
2010-08-23,NA,NA
2010-08-24,NA,NA
2010-08-25,NA,NA
2010-08-26,NA,NA
2010-08-27,NA,NA
2010-08-28,NA,NA
2010-08-29,NA,NA
2010-08-30,NA,NA
2010-08-31,NA,NA
2010-09-01,NA,NA
2010-09-02,NA,NA
2010-09-03,NA,NA
2010-09-04,NA,NA
2010-09-05,NA,NA
2010-09-06,NA,NA
2010-09-07,NA,NA
2010-09-08,NA,NA
2010-09-09,NA,NA
2010-09-10,NA,NA
2010-09-11,NA,NA
2010-09-12,NA,NA
2010-09-13,NA,NA
2010-09-14,NA,NA
2010-09-15,NA,NA
2010-09-16,NA,NA
2010-09-17,NA,NA
2010-09-18,NA,NA
2010-09-19,NA,NA
2010-09-20,NA,NA
2010-09-21,NA,NA
2010-09-22,NA,NA
2010-09-23,NA,NA
2010-09-24,NA,NA
2010-09-25,NA,NA
2010-09-26,NA,NA
2010-09-27,NA,NA
2010-09-28,NA,NA
2010-09-29,NA,NA
2010-09-30,NA,NA
2010-10-01,NA,NA
2010-10-02,NA,NA
2010-10-03,NA,NA
2010-10-04,NA,NA
2010-10-05,NA,NA
2010-10-06,NA,NA
2010-10-07,NA,NA
2010-10-08,NA,NA
2010-10-09,NA,NA
2010-10-10,NA,NA
2010-10-11,NA,NA
2010-10-12,NA,NA
2010-10-13,NA,NA
2010-10-14,NA,NA
2010-10-15,NA,NA
2010-10-16,NA,NA
2010-10-17,NA,NA
2010-10-18,NA,NA
2010-10-19,NA,NA
2010-10-20,NA,NA
2010-10-21,NA,NA
2010-10-22,NA,NA
2010-10-23,NA,NA
2010-10-24,NA,NA
2010-10-25,NA,NA
2010-10-26,NA,NA
2010-10-27,NA,NA
2010-10-28,NA,NA
2010-10-29,NA,NA
2010-10-30,NA,NA
2010-10-31,NA,NA
2010-11-01,NA,NA
2010-11-02,NA,NA
2010-11-03,NA,NA
2010-11-04,NA,NA
2010-11-05,NA,NA
2010-11-06,NA,NA
2010-11-07,NA,NA
2010-11-08,NA,NA
2010-11-09,NA,NA
2010-11-10,NA,NA
2010-11-11,NA,NA
2010-11-12,NA,NA
2010-11-13,NA,NA
2010-11-14,NA,NA
2010-11-15,NA,NA
2010-11-16,NA,NA
2010-11-17,NA,NA
2010-11-18,NA,NA
2010-11-19,NA,NA
2010-11-20,NA,NA
2010-11-21,NA,NA
2010-11-22,NA,NA
2010-11-23,NA,NA
2010-11-24,NA,NA
2010-11-25,NA,NA
2010-11-26,NA,NA
2010-11-27,NA,NA
2010-11-28,NA,NA
2010-11-29,NA,NA
2010-11-30,NA,NA
2010-12-01,NA,NA
2010-12-02,NA,NA
2010-12-03,NA,NA
2010-12-04,NA,NA
2010-12-05,NA,NA
2010-12-06,NA,NA
2010-12-07,NA,NA
2010-12-08,NA,NA
2010-12-09,NA,NA
2010-12-10,NA,NA
2010-12-11,NA,NA
2010-12-12,NA,NA
2010-12-13,NA,NA
2010-12-14,NA,NA
2010-12-15,NA,NA
2010-12-16,NA,NA
2010-12-17,NA,NA
2010-12-18,NA,NA
2010-12-19,NA,NA
2010-12-20,NA,NA
2010-12-21,NA,NA
2010-12-22,NA,NA
2010-12-23,NA,NA
2010-12-24,NA,NA
2010-12-25,NA,NA
2010-12-26,NA,NA
2010-12-27,NA,NA
2010-12-28,NA,NA
2010-12-29,NA,NA
2010-12-30,NA,NA
2010-12-31,NA,NA
2011-01-01,NA,NA
2011-01-02,NA,NA
2011-01-03,NA,NA
2011-01-04,NA,NA
2011-01-05,NA,NA
2011-01-06,NA,NA
2011-01-07,NA,NA
2011-01-08,NA,NA
2011-01-09,NA,NA
2011-01-10,NA,NA
2011-01-11,NA,NA
2011-01-12,NA,NA
