"Fecha","Lon","Lat"
2010-03-15,-72.0799583499015,-36.5950711512465
2010-03-16,-72.0799584235753,-36.5950711470868
2010-03-17,-72.0799584531441,-36.5950711345518
2010-03-18,-72.0799585085827,-36.5950711610668
2010-03-19,-72.0799585114626,-36.5950711223655
2010-03-20,-72.0799585487669,-36.5950711260179
2010-03-21,-72.0799585690328,-36.5950711215307
2010-03-22,-72.0799586005441,-36.5950711270301
2010-03-23,-72.0799586176433,-36.5950711302191
2010-03-24,-72.0799586372749,-36.595071116765
2010-03-25,-72.0799586611353,-36.5950711127564
2010-03-26,-72.0799587171621,-36.5950711279745
2010-03-27,-72.0799587241558,-36.5950711114572
2010-03-28,-72.0799587378583,-36.5950711318256
2010-03-29,-72.0799587625397,-36.5950711115269
2010-03-30,-72.0799587725288,-36.5950711235518
2010-03-31,-72.0799588111364,-36.5950710932389
2010-04-01,-72.0799588373139,-36.5950711080903
2010-04-02,-72.0799588144759,-36.5950711087708
2010-04-03,-72.0799588381623,-36.5950711184615
2010-04-04,-72.0799588522702,-36.595071112649
2010-04-05,-72.0799588814787,-36.5950711039253
2010-04-06,-72.0799589246593,-36.595071133666
2010-04-07,-72.0799589319014,-36.5950711060094
2010-04-08,-72.0799589373891,-36.5950710910584
2010-04-09,-72.0799589559275,-36.5950710924726
2010-04-10,-72.0799589737895,-36.5950711091245
2010-04-11,-72.0799589888495,-36.5950710975903
2010-04-12,-72.0799590143357,-36.5950710702296
2010-04-13,-72.0799590314928,-36.5950711168893
2010-04-14,-72.0799590449508,-36.5950710960594
2010-04-15,-72.0799590574119,-36.5950710967037
2010-04-16,-72.07995906833,-36.5950711017433
2010-04-17,-72.079959085404,-36.5950711078639
2010-04-18,-72.0799591311959,-36.5950710917255
2010-04-19,-72.0799591222083,-36.5950710880268
2010-04-20,-72.0799591311659,-36.5950710942247
2010-04-21,-72.0799591527619,-36.5950711095168
2010-04-22,-72.079959156578,-36.5950710910738
2010-04-23,-72.0799591713302,-36.5950710748764
2010-04-24,-72.0799591882352,-36.5950710735971
2010-04-25,-72.0799592008224,-36.5950710797005
2010-04-26,-72.0799592234526,-36.5950710860664
2010-04-27,-72.0799592287779,-36.5950710926652
2010-04-28,-72.0799592432934,-36.5950711098787
2010-04-29,-72.0799592565035,-36.5950710893395
2010-04-30,-72.079959297751,-36.5950710794423
2010-05-01,-72.0799592819104,-36.595071078978
2010-05-02,-72.0799593073647,-36.5950710855628
2010-05-03,-72.0799592986299,-36.5950710962219
2010-05-04,-72.0799593192609,-36.5950710756935
2010-05-05,-72.0799593487318,-36.5950710590634
2010-05-06,-72.0799593467508,-36.5950710629329
2010-05-07,-72.0799593482029,-36.595071066851
2010-05-08,-72.0799593769852,-36.5950710760664
2010-05-09,-72.0799593794954,-36.5950710772435
2010-05-10,-72.0799594039986,-36.5950710620477
2010-05-11,-72.0799594243339,-36.5950710587919
2010-05-12,-72.0799594214906,-36.595071075953
2010-05-13,-72.0799594255852,-36.5950710632735
2010-05-14,NA,NA
2010-05-15,-72.0799594596345,-36.5950710803704
2010-05-16,-72.0799594593531,-36.5950710789954
2010-05-17,-72.0799594463847,-36.59507104974
2010-05-18,-72.0799594633543,-36.595071066187
2010-05-19,-72.0799594578606,-36.5950710557103
2010-05-20,-72.0799594685696,-36.5950710285056
2010-05-21,NA,NA
2010-05-22,-72.0799595440999,-36.5950710113981
2010-05-23,-72.0799595271073,-36.5950710558549
2010-05-24,-72.0799595305569,-36.5950710594212
2010-05-25,-72.0799595431662,-36.5950710693886
2010-05-26,-72.0799595720195,-36.5950710512116
2010-05-27,-72.0799595578426,-36.5950710373476
2010-05-28,-72.0799595859076,-36.5950710417447
2010-05-29,-72.079959601746,-36.595071045438
2010-05-30,-72.0799595867857,-36.5950710505852
2010-05-31,-72.0799595761436,-36.5950710393628
2010-06-01,-72.0799595951384,-36.5950710433213
2010-06-02,-72.0799596180682,-36.5950710281601
2010-06-03,-72.0799596214676,-36.5950710499029
2010-06-04,-72.0799596179033,-36.5950710454734
2010-06-05,-72.0799596323468,-36.5950710474873
2010-06-06,-72.0799596595205,-36.5950710457477
2010-06-07,-72.0799596468981,-36.5950710390882
2010-06-08,-72.0799596480145,-36.595071053086
2010-06-09,NA,NA
2010-06-10,-72.079959669175,-36.5950710372014
2010-06-11,-72.0799596936967,-36.5950710284556
2010-06-12,-72.0799597195003,-36.5950710268809
2010-06-13,-72.0799597059091,-36.595071033424
2010-06-14,-72.0799597397227,-36.5950710358946
2010-06-15,-72.0799597508798,-36.5950710355345
2010-06-16,-72.0799597312825,-36.5950710536384
2010-06-17,-72.0799597345998,-36.5950710366682
2010-06-18,-72.0799597513755,-36.5950710480269
2010-06-19,NA,NA
2010-06-20,NA,NA
2010-06-21,NA,NA
2010-06-22,NA,NA
2010-06-23,NA,NA
2010-06-24,NA,NA
2010-06-25,NA,NA
2010-06-26,NA,NA
2010-06-27,NA,NA
2010-06-28,NA,NA
2010-06-29,NA,NA
2010-06-30,NA,NA
2010-07-01,NA,NA
2010-07-02,NA,NA
2010-07-03,NA,NA
2010-07-04,NA,NA
2010-07-05,NA,NA
2010-07-06,NA,NA
2010-07-07,NA,NA
2010-07-08,NA,NA
2010-07-09,NA,NA
2010-07-10,NA,NA
2010-07-11,NA,NA
2010-07-12,NA,NA
2010-07-13,NA,NA
2010-07-14,NA,NA
2010-07-15,NA,NA
2010-07-16,NA,NA
2010-07-17,NA,NA
2010-07-18,-72.0799599622407,-36.5950710140377
2010-07-19,-72.0799599858146,-36.5950710205073
2010-07-20,-72.0799599892064,-36.595071015048
2010-07-21,-72.0799600003719,-36.5950710299544
2010-07-22,-72.0799599856975,-36.5950710152614
2010-07-23,-72.0799599641404,-36.5950709945989
2010-07-24,-72.0799600021493,-36.5950710120944
2010-07-25,-72.0799600079294,-36.5950710199271
2010-07-26,-72.0799600087655,-36.5950710121738
2010-07-27,-72.079960021593,-36.5950710143229
2010-07-28,-72.0799600254808,-36.5950710082774
2010-07-29,-72.079960045093,-36.5950710024957
2010-07-30,-72.0799600761559,-36.5950710102943
2010-07-31,-72.0799600426387,-36.5950710144876
2010-08-01,-72.0799600543434,-36.5950710203267
2010-08-02,-72.079960068254,-36.5950709908839
2010-08-03,-72.0799600531274,-36.5950710039448
2010-08-04,-72.0799600787941,-36.5950709936003
2010-08-05,-72.0799600903062,-36.5950710051416
2010-08-06,-72.0799600957323,-36.595070987252
2010-08-07,-72.0799600866256,-36.5950709888779
2010-08-08,-72.0799600888129,-36.5950709978251
2010-08-09,-72.0799600948834,-36.595071003567
2010-08-10,-72.0799601201256,-36.5950710007019
2010-08-11,-72.0799601310942,-36.5950709948866
2010-08-12,-72.0799601064681,-36.5950709954965
2010-08-13,-72.0799600986548,-36.5950709959153
2010-08-14,-72.079960123154,-36.5950710027888
2010-08-15,-72.0799601333929,-36.5950709877373
2010-08-16,-72.0799601338703,-36.5950709879298
2010-08-17,-72.0799601575646,-36.595070984291
2010-08-18,-72.0799601422701,-36.5950709964809
2010-08-19,-72.0799601401991,-36.5950709826967
2010-08-20,-72.079960142938,-36.595070976615
2010-08-21,-72.0799601630875,-36.5950709868766
2010-08-22,-72.0799601550701,-36.5950709863876
2010-08-23,-72.0799601520649,-36.5950709793789
2010-08-24,-72.0799601974956,-36.5950710020996
2010-08-25,-72.0799601812164,-36.5950709912966
2010-08-26,-72.0799601999581,-36.5950709714458
2010-08-27,-72.0799602110397,-36.5950709920116
2010-08-28,-72.0799601916804,-36.5950710072852
2010-08-29,-72.0799602196481,-36.595070990873
2010-08-30,-72.0799602147513,-36.5950709958834
2010-08-31,-72.0799602339454,-36.5950710100157
2010-09-01,-72.0799602154072,-36.5950709912797
2010-09-02,-72.0799602299363,-36.5950709976315
2010-09-03,-72.0799602345959,-36.5950709979678
2010-09-04,-72.0799602266634,-36.5950709961731
2010-09-05,-72.0799602432167,-36.595071004227
2010-09-06,-72.0799602590254,-36.5950709993636
2010-09-07,-72.0799602644147,-36.595071013538
2010-09-08,-72.0799602564811,-36.5950709824321
2010-09-09,-72.0799602669677,-36.5950709952957
2010-09-10,-72.0799602699908,-36.5950710000836
2010-09-11,-72.0799602746358,-36.5950710015088
2010-09-12,-72.0799602814017,-36.5950710119356
2010-09-13,-72.079960308181,-36.5950710122388
2010-09-14,-72.0799603012876,-36.5950709901
2010-09-15,-72.0799603222078,-36.5950709918459
2010-09-16,-72.0799602793722,-36.5950709898773
2010-09-17,-72.0799602850991,-36.5950710165894
2010-09-18,-72.079960281402,-36.595070992077
2010-09-19,-72.0799603329924,-36.5950710014253
2010-09-20,-72.0799603415712,-36.5950710031135
2010-09-21,-72.0799603238787,-36.5950709900975
2010-09-22,-72.0799603258919,-36.5950710081361
2010-09-23,-72.0799602985733,-36.5950710312239
2010-09-24,-72.0799603417079,-36.595070985099
2010-09-25,-72.0799603475057,-36.5950710079568
2010-09-26,-72.0799603379319,-36.5950709974148
2010-09-27,-72.0799603543574,-36.5950709840988
2010-09-28,-72.0799603595423,-36.5950710418939
2010-09-29,-72.0799603988142,-36.5950709897031
2010-09-30,-72.0799603856363,-36.5950710081026
2010-10-01,-72.079960388793,-36.5950709814151
2010-10-02,-72.0799603555286,-36.5950710181136
2010-10-03,-72.079960358455,-36.5950709854952
2010-10-04,-72.0799603565034,-36.595070970392
2010-10-05,-72.0799603856521,-36.5950710087146
2010-10-06,-72.0799604077422,-36.5950709908351
2010-10-07,-72.0799603938942,-36.595070972888
2010-10-08,-72.0799604175576,-36.5950709651362
2010-10-09,-72.0799604429579,-36.5950709873255
2010-10-10,-72.079960436102,-36.5950709524302
2010-10-11,-72.0799604581146,-36.5950709867896
2010-10-12,-72.0799604648588,-36.5950709778764
2010-10-13,-72.0799604628275,-36.5950709713254
2010-10-14,-72.0799604525896,-36.5950709867887
2010-10-15,-72.0799604398268,-36.5950709919334
2010-10-16,-72.0799604519686,-36.5950709828083
2010-10-17,-72.0799604397415,-36.5950709936244
2010-10-18,-72.0799604355588,-36.5950709841032
2010-10-19,-72.0799604492892,-36.595070989524
2010-10-20,-72.0799604596472,-36.5950709695267
2010-10-21,-72.0799604704547,-36.5950709951432
2010-10-22,-72.0799604500426,-36.5950710064042
2010-10-23,-72.0799605134936,-36.5950709846116
2010-10-24,-72.0799604715195,-36.5950710139113
2010-10-25,-72.0799604909326,-36.5950709778595
2010-10-26,-72.0799605280543,-36.5950709785561
2010-10-27,-72.0799605052766,-36.5950709869198
2010-10-28,-72.0799605094408,-36.5950709605665
2010-10-29,-72.0799605204541,-36.595070986435
2010-10-30,-72.0799605484195,-36.5950709651768
2010-10-31,-72.0799605302077,-36.5950709794882
2010-11-01,-72.0799605107746,-36.595071011228
2010-11-02,-72.0799605025777,-36.5950709801186
2010-11-03,-72.0799605517368,-36.5950709613187
2010-11-04,-72.0799605383665,-36.5950709759748
2010-11-05,-72.0799605456583,-36.5950710059861
2010-11-06,-72.079960535377,-36.5950709601725
2010-11-07,-72.0799605494656,-36.5950709725891
2010-11-08,-72.0799605681501,-36.5950709801594
2010-11-09,-72.0799605389991,-36.595070987671
2010-11-10,-72.0799605738774,-36.5950709793169
2010-11-11,-72.0799605659889,-36.5950709910193
2010-11-12,-72.0799605569922,-36.5950709684859
2010-11-13,-72.0799605625874,-36.5950709676155
2010-11-14,-72.0799605485507,-36.595070996732
2010-11-15,-72.0799605793834,-36.595070986307
2010-11-16,-72.0799605804161,-36.5950709704781
2010-11-17,-72.0799606204524,-36.5950709776852
2010-11-18,-72.0799606032593,-36.5950709531036
2010-11-19,-72.0799606870487,-36.5950709187992
2010-11-20,-72.0799606107513,-36.595070968453
2010-11-21,-72.0799605707888,-36.5950709971258
2010-11-22,-72.0799606025101,-36.5950709981998
2010-11-23,-72.0799606333404,-36.5950710006144
2010-11-24,-72.0799606069135,-36.5950709662933
2010-11-25,-72.0799606335013,-36.5950709513977
2010-11-26,-72.0799606363557,-36.5950709807426
2010-11-27,-72.0799606350321,-36.5950709747148
2010-11-28,-72.0799606452675,-36.5950709615978
2010-11-29,-72.0799606224627,-36.5950709893008
2010-11-30,-72.0799606385457,-36.5950709928237
2010-12-01,-72.0799606364723,-36.5950709872619
2010-12-02,-72.0799606516258,-36.5950709944048
2010-12-03,-72.079960685585,-36.5950709719071
2010-12-04,-72.0799606570113,-36.5950709593968
2010-12-05,-72.079960687615,-36.5950709566167
2010-12-06,-72.0799606966036,-36.5950709838788
2010-12-07,-72.0799606681862,-36.5950709610252
2010-12-08,-72.0799606653971,-36.5950709826024
2010-12-09,-72.0799606595165,-36.5950709684977
2010-12-10,-72.0799606467853,-36.5950709791186
2010-12-11,-72.0799606732029,-36.5950709663166
2010-12-12,-72.0799606744488,-36.5950709752576
2010-12-13,-72.0799607059741,-36.5950709687465
2010-12-14,-72.0799606896094,-36.595070987899
2010-12-15,-72.0799607227642,-36.5950709779416
2010-12-16,-72.0799607051172,-36.5950709593288
2010-12-17,-72.0799607268629,-36.5950709600405
2010-12-18,-72.0799607107808,-36.5950709781297
2010-12-19,-72.0799607375601,-36.5950709463297
2010-12-20,-72.0799607615788,-36.5950709599305
2010-12-21,-72.0799606920348,-36.5950709753903
2010-12-22,-72.0799607468281,-36.5950709618477
2010-12-23,-72.0799607331304,-36.5950709494257
2010-12-24,-72.079960757493,-36.5950709562502
2010-12-25,-72.0799606924618,-36.5950709553664
2010-12-26,-72.0799607350698,-36.5950709588924
2010-12-27,-72.0799607442989,-36.5950709268244
2010-12-28,-72.0799607588889,-36.5950709546373
2010-12-29,-72.0799607354811,-36.5950709355403
2010-12-30,-72.079960724157,-36.5950709735964
2010-12-31,-72.079960763482,-36.5950709603327
2011-01-01,-72.0799607605112,-36.5950709801856
2011-01-02,-72.079960745639,-36.595070954016
2011-01-03,-72.0799607551959,-36.5950709627305
2011-01-04,-72.0799607732184,-36.5950709593608
2011-01-05,-72.0799607406005,-36.5950709626043
2011-01-06,-72.0799607545495,-36.5950709609395
2011-01-07,-72.0799607710964,-36.595070957484
2011-01-08,-72.0799607712849,-36.5950709293693
2011-01-09,-72.0799607847125,-36.5950709457038
2011-01-10,-72.0799607567268,-36.5950709297334
2011-01-11,-72.0799607969567,-36.595070938682
2011-01-12,-72.0799607892506,-36.5950709431024
2011-01-13,-72.0799608102846,-36.5950709540886
2011-01-14,-72.0799607807488,-36.595070955632
2011-01-15,-72.0799608064404,-36.5950709371657
2011-01-16,-72.0799607954795,-36.5950709425997
2011-01-17,-72.0799607814128,-36.5950709322304
2011-01-18,-72.0799608353555,-36.5950709574816
2011-01-19,-72.0799608235118,-36.5950709492425
2011-01-20,-72.0799608034476,-36.5950709335366
2011-01-21,-72.0799608207767,-36.5950709321072
2011-01-22,-72.0799608241577,-36.5950709299556
2011-01-23,-72.0799608257641,-36.5950709432006
2011-01-24,-72.0799608378901,-36.5950709178971
2011-01-25,-72.0799608252844,-36.5950709477493
2011-01-26,-72.0799608604086,-36.5950709554392
2011-01-27,-72.0799608372328,-36.5950709315764
2011-01-28,-72.079960865527,-36.5950709341065
2011-01-29,-72.0799608681551,-36.5950709302996
2011-01-30,-72.0799608719701,-36.5950709296537
2011-01-31,-72.0799608822501,-36.5950709576496
2011-02-01,-72.0799608447772,-36.5950709430223
2011-02-02,-72.0799608889136,-36.5950709277855
2011-02-03,-72.0799609192132,-36.595070935649
2011-02-04,-72.0799608652901,-36.5950709249201
2011-02-05,-72.0799608669571,-36.595070949867
2011-02-06,-72.0799608988147,-36.5950709343682
2011-02-07,-72.0799608704729,-36.5950709239542
2011-02-08,-72.0799608816383,-36.5950709253783
2011-02-09,-72.0799608999513,-36.595070920442
2011-02-10,-72.0799609204168,-36.5950709218042
2011-02-11,-72.0799608994548,-36.5950709259522
2011-02-12,-72.0799609572587,-36.5950709130109
2011-02-13,-72.0799609598098,-36.5950709220878
2011-02-14,-72.0799609392618,-36.5950709113759
2011-02-15,-72.0799609523513,-36.5950709180042
2011-02-16,-72.0799609627251,-36.5950708974617
2011-02-17,-72.0799609695068,-36.5950709212783
2011-02-18,-72.0799609559249,-36.5950709136835
2011-02-19,-72.0799609666331,-36.5950709000671
2011-02-20,-72.0799609873157,-36.5950709143009
2011-02-21,-72.0799609695449,-36.5950709183306
2011-02-22,-72.0799609788945,-36.5950709080285
2011-02-23,-72.0799609735543,-36.5950709195873
2011-02-24,-72.0799609452878,-36.5950709232689
2011-02-25,-72.0799609627394,-36.595070904723
2011-02-26,-72.0799609696681,-36.5950709057863
2011-02-27,-72.0799609793882,-36.5950709086318
2011-02-28,-72.0799609850294,-36.5950709210768
2011-03-01,-72.0799609846133,-36.5950709201766
2011-03-02,-72.079961021086,-36.5950708983406
2011-03-03,-72.0799610076947,-36.5950709013615
2011-03-04,-72.0799610182857,-36.5950709149595
2011-03-05,-72.0799610044529,-36.595070922392
2011-03-06,-72.0799610188431,-36.5950708910945
2011-03-07,-72.0799610153927,-36.595070912504
2011-03-08,-72.079961002152,-36.5950708993596
2011-03-09,-72.0799610122991,-36.5950709190307
2011-03-10,-72.0799610323609,-36.5950709184653
2011-03-11,-72.0799610438511,-36.5950709251531
2011-03-12,-72.0799610431769,-36.5950708939064
2011-03-13,-72.0799610249117,-36.595070897611
2011-03-14,-72.0799610247298,-36.5950709152266
2011-03-15,-72.0799610595091,-36.5950709043188
2011-03-16,-72.0799610628719,-36.5950708746324
2011-03-17,-72.0799610777695,-36.5950708918513
2011-03-18,-72.0799610541136,-36.5950708952339
2011-03-19,-72.0799610666231,-36.5950708975256
2011-03-20,-72.0799610448635,-36.5950708882174
2011-03-21,-72.0799610921387,-36.5950708998643
2011-03-22,-72.079961076557,-36.5950708892685
2011-03-23,-72.0799610767214,-36.5950709033041
2011-03-24,-72.0799610642196,-36.5950708601874
2011-03-25,-72.0799611208055,-36.5950708595803
2011-03-26,-72.0799610647293,-36.5950709053311
2011-03-27,-72.079961082492,-36.5950709011512
2011-03-28,-72.0799610975154,-36.5950708607721
2011-03-29,-72.0799610968079,-36.5950708848145
2011-03-30,-72.0799611325045,-36.5950708690363
2011-03-31,-72.0799611173295,-36.5950708828837
2011-04-01,-72.0799611061957,-36.5950708746844
2011-04-02,-72.0799611426885,-36.5950708636992
2011-04-03,-72.0799611013328,-36.5950708929377
2011-04-04,-72.0799611480271,-36.5950708872222
2011-04-05,-72.0799611063385,-36.5950709074845
2011-04-06,-72.0799611125052,-36.5950709087267
2011-04-07,-72.0799611720736,-36.5950709142552
2011-04-08,-72.0799611278742,-36.595070876573
2011-04-09,-72.0799611421448,-36.5950708783524
2011-04-10,-72.0799611109119,-36.5950708857082
2011-04-11,-72.0799611272613,-36.5950708982003
2011-04-12,-72.0799611549139,-36.5950708929681
