"Fecha","Lon","Lat"
2006-11-22,-71.4579588742951,-31.3982222576699
2006-11-23,-71.4579589010808,-31.3982222313727
2006-11-24,-71.4579588883228,-31.3982222540123
2006-11-25,-71.4579589047834,-31.3982222500118
2006-11-26,-71.4579588926835,-31.3982222617527
2006-11-27,-71.4579588904561,-31.3982222397586
2006-11-28,-71.4579588925282,-31.3982222543116
2006-11-29,NA,NA
2006-11-30,NA,NA
2006-12-01,NA,NA
2006-12-02,NA,NA
2006-12-03,NA,NA
2006-12-04,NA,NA
2006-12-05,NA,NA
2006-12-06,NA,NA
2006-12-07,NA,NA
2006-12-08,NA,NA
2006-12-09,NA,NA
2006-12-10,NA,NA
2006-12-11,NA,NA
2006-12-12,NA,NA
2006-12-13,NA,NA
2006-12-14,NA,NA
2006-12-15,NA,NA
2006-12-16,NA,NA
2006-12-17,NA,NA
2006-12-18,NA,NA
2006-12-19,NA,NA
2006-12-20,NA,NA
2006-12-21,NA,NA
2006-12-22,NA,NA
2006-12-23,NA,NA
2006-12-24,NA,NA
2006-12-25,NA,NA
2006-12-26,NA,NA
2006-12-27,NA,NA
2006-12-28,NA,NA
2006-12-29,NA,NA
2006-12-30,NA,NA
2006-12-31,NA,NA
2007-01-01,-71.4579588721335,-31.3982222344478
2007-01-02,-71.4579588670437,-31.398222244344
2007-01-03,-71.4579588852649,-31.3982222188643
2007-01-04,-71.4579588650603,-31.3982222595241
2007-01-05,-71.4579588717384,-31.3982222515872
2007-01-06,-71.4579588603841,-31.3982222504845
2007-01-07,-71.4579588495144,-31.3982222490166
2007-01-08,-71.457958858509,-31.3982222341307
2007-01-09,-71.4579588478669,-31.3982222327366
2007-01-10,-71.4579588597616,-31.3982222134842
2007-01-11,-71.4579588227982,-31.3982222311902
2007-01-12,-71.4579588551554,-31.3982222247919
2007-01-13,-71.4579588460336,-31.398222220552
2007-01-14,-71.4579588635443,-31.3982222290569
2007-01-15,-71.4579588795133,-31.3982222321678
2007-01-16,-71.457958855475,-31.3982222274596
2007-01-17,-71.4579588462716,-31.3982222207806
2007-01-18,-71.4579588587482,-31.3982222330404
2007-01-19,-71.4579588645185,-31.3982222193496
2007-01-20,-71.4579588465307,-31.3982222324342
2007-01-21,-71.4579588598594,-31.3982222230936
2007-01-22,-71.4579588533539,-31.398222246372
2007-01-23,-71.457958861489,-31.3982222398208
2007-01-24,-71.4579588463463,-31.3982222306003
2007-01-25,-71.4579588625583,-31.3982222238516
2007-01-26,-71.4579588552385,-31.3982222300188
2007-01-27,-71.457958850881,-31.398222233325
2007-01-28,-71.4579588609194,-31.3982222036277
2007-01-29,-71.4579588643917,-31.3982222262274
2007-01-30,-71.4579588404727,-31.398222225573
2007-01-31,-71.4579588498999,-31.3982222051684
