"Fecha","Lon","Lat"
2007-11-05,-68.6386152731098,-19.2762339648481
2007-11-06,-68.6386152620021,-19.2762339496222
2007-11-07,-68.6386152623815,-19.2762339555317
2007-11-08,-68.6386152582594,-19.2762339656008
2007-11-09,-68.6386152478935,-19.2762339493485
2007-11-10,-68.6386152696061,-19.2762339494212
2007-11-11,-68.6386152358251,-19.2762339510518
2007-11-12,-68.6386152561756,-19.276233955643
2007-11-13,-68.6386152498029,-19.276233962165
2007-11-14,-68.6386152620903,-19.2762339601424
2007-11-15,-68.6386152415904,-19.2762339664948
2007-11-16,-68.6386152599795,-19.2762339674775
2007-11-17,-68.6386152662501,-19.2762339619789
2007-11-18,NA,NA
2007-11-19,-68.6386152509949,-19.2762339708166
2007-11-20,-68.6386152672353,-19.2762339710666
2007-11-21,NA,NA
2007-11-22,NA,NA
2007-11-23,-68.6386153030031,-19.2762339374273
2007-11-24,-68.6386152897762,-19.2762339443551
2007-11-25,-68.6386152918213,-19.2762339512135
2007-11-26,NA,NA
2007-11-27,-68.6386152786314,-19.2762339613847
2007-11-28,-68.6386152876531,-19.276233944961
2007-11-29,-68.6386152685737,-19.2762339358692
2007-11-30,-68.6386152789605,-19.2762339306102
2007-12-01,-68.638615286901,-19.2762339405668
2007-12-02,-68.638615271843,-19.2762339600091
2007-12-03,-68.6386152840292,-19.2762339508982
2007-12-04,-68.6386152592573,-19.2762339437375
2007-12-05,-68.6386152674149,-19.2762339333089
2007-12-06,-68.6386152673975,-19.2762339402383
2007-12-07,-68.6386152315341,-19.2762339692003
2007-12-08,-68.6386152620056,-19.276233962495
2007-12-09,-68.6386152602177,-19.2762339422774
2007-12-10,-68.6386152694822,-19.2762339400955
2007-12-11,-68.6386152569796,-19.2762339488516
2007-12-12,NA,NA
2007-12-13,NA,NA
2007-12-14,NA,NA
2007-12-15,NA,NA
2007-12-16,NA,NA
2007-12-17,NA,NA
2007-12-18,NA,NA
2007-12-19,NA,NA
2007-12-20,NA,NA
2007-12-21,NA,NA
2007-12-22,NA,NA
2007-12-23,NA,NA
