"Fecha","Lon","Lat"
2007-12-07,-72.412118421552,-35.3309546282784
2007-12-08,-72.4121184355059,-35.3309546159295
2007-12-09,-72.4121184318507,-35.3309546054178
2007-12-10,-72.4121184219377,-35.33095461933
2007-12-11,-72.4121184416416,-35.3309546061473
2007-12-12,-72.4121184312263,-35.3309546011446
2007-12-13,-72.4121184338292,-35.3309545967686
2007-12-14,-72.412118426324,-35.3309545933188
2007-12-15,-72.4121184154577,-35.330954614405
2007-12-16,-72.4121184192512,-35.3309546008852
2007-12-17,-72.4121184418517,-35.3309546182062
2007-12-18,-72.4121184198022,-35.3309546170564
2007-12-19,-72.4121184387463,-35.3309546104904
2007-12-20,-72.4121184111976,-35.3309546012294
2007-12-21,-72.4121184289772,-35.3309545980429
2007-12-22,-72.4121184423852,-35.3309546013567
2007-12-23,-72.4121184431986,-35.3309546021654
2007-12-24,-72.4121184128662,-35.3309545961895
2007-12-25,-72.4121184213831,-35.3309545914679
2007-12-26,-72.412118414096,-35.3309545741766
2007-12-27,-72.4121184280611,-35.3309546090211
2007-12-28,-72.4121183960343,-35.3309545867869
2007-12-29,NA,NA
2007-12-30,NA,NA
2007-12-31,NA,NA
2008-01-01,NA,NA
2008-01-02,NA,NA
2008-01-03,-72.4121184292337,-35.3309545909004
2008-01-04,-72.4121184071579,-35.330954569418
2008-01-05,-72.4121183727293,-35.3309545945915
2008-01-06,-72.4121183862743,-35.3309545940075
2008-01-07,-72.4121184087679,-35.3309545936787
2008-01-08,-72.4121184244877,-35.3309545770287
2008-01-09,-72.4121184203523,-35.3309545927122
2008-01-10,-72.4121184032135,-35.3309545885245
2008-01-11,-72.4121184294209,-35.3309546031355
2008-01-12,-72.4121183978069,-35.3309545976871
2008-01-13,-72.4121183961048,-35.3309545926251
2008-01-14,-72.4121184034452,-35.3309545799315
2008-01-15,-72.4121184141823,-35.330954573097
2008-01-16,-72.4121184082202,-35.3309545912811
2008-01-17,-72.4121184055698,-35.3309546130477
2008-01-18,-72.4121184109192,-35.3309545856871
2008-01-19,-72.4121184067135,-35.330954579052
2008-01-20,-72.4121183923455,-35.3309545697633
2008-01-21,-72.4121184158674,-35.3309545982133
2008-01-22,-72.4121184056118,-35.3309545473318
2008-01-23,-72.4121184036931,-35.330954565404
2008-01-24,-72.4121183974703,-35.3309545790271
2008-01-25,-72.4121183937243,-35.330954560303
