"Fecha","Lon","Lat"
2010-05-21,-71.1412606180457,-33.3818629212273
2010-05-22,-71.141260653494,-33.3818629272394
2010-05-23,-71.1412606293631,-33.3818629320692
2010-05-24,-71.1412606252581,-33.3818629395367
2010-05-25,-71.1412606172746,-33.3818629430132
2010-05-26,-71.1412606321403,-33.3818629195074
2010-05-27,-71.1412606135636,-33.381862917362
2010-05-28,NA,NA
2010-05-29,NA,NA
2010-05-30,NA,NA
2010-05-31,NA,NA
2010-06-01,NA,NA
2010-06-02,NA,NA
2010-06-03,NA,NA
2010-06-04,NA,NA
2010-06-05,NA,NA
2010-06-06,NA,NA
2010-06-07,NA,NA
2010-06-08,NA,NA
2010-06-09,NA,NA
2010-06-10,NA,NA
2010-06-11,NA,NA
2010-06-12,NA,NA
2010-06-13,NA,NA
2010-06-14,NA,NA
2010-06-15,NA,NA
2010-06-16,NA,NA
2010-06-17,NA,NA
2010-06-18,NA,NA
2010-06-19,NA,NA
2010-06-20,NA,NA
2010-06-21,NA,NA
2010-06-22,NA,NA
2010-06-23,NA,NA
2010-06-24,NA,NA
2010-06-25,NA,NA
2010-06-26,NA,NA
2010-06-27,NA,NA
2010-06-28,NA,NA
2010-06-29,NA,NA
2010-06-30,NA,NA
2010-07-01,NA,NA
2010-07-02,NA,NA
2010-07-03,NA,NA
2010-07-04,NA,NA
2010-07-05,NA,NA
2010-07-06,NA,NA
2010-07-07,NA,NA
2010-07-08,NA,NA
2010-07-09,NA,NA
2010-07-10,NA,NA
2010-07-11,NA,NA
2010-07-12,NA,NA
2010-07-13,NA,NA
2010-07-14,NA,NA
2010-07-15,NA,NA
2010-07-16,NA,NA
2010-07-17,NA,NA
2010-07-18,NA,NA
2010-07-19,NA,NA
2010-07-20,NA,NA
2010-07-21,NA,NA
2010-07-22,NA,NA
2010-07-23,NA,NA
2010-07-24,NA,NA
2010-07-25,NA,NA
2010-07-26,NA,NA
2010-07-27,NA,NA
2010-07-28,NA,NA
2010-07-29,NA,NA
2010-07-30,NA,NA
2010-07-31,NA,NA
2010-08-01,NA,NA
2010-08-02,NA,NA
2010-08-03,-71.1341528088345,-33.3533502160241
2010-08-04,-71.1341526382941,-33.3533499609774
2010-08-05,-71.1341525382576,-33.353349989397
2010-08-06,-71.1341526211622,-33.353349936569
2010-08-07,-71.134152515171,-33.3533499899712
2010-08-08,-71.1341525539671,-33.3533500750538
2010-08-09,-71.1341524688414,-33.3533500632289
2010-08-10,-71.1341526246355,-33.353350024913
2010-08-11,-71.1341526201139,-33.3533500247561
2010-08-12,-71.1341525151627,-33.3533500685214
2010-08-13,-71.1341525557972,-33.3533500356213
2010-08-14,-71.1341525641988,-33.3533500125652
2010-08-15,-71.1341527128476,-33.3533499279013
2010-08-16,-71.1341525792852,-33.3533500048023
2010-08-17,-71.1341527279195,-33.3533499508446
2010-08-18,-71.1341525006083,-33.3533500669914
2010-08-19,-71.1341525033787,-33.3533500073494
2010-08-20,-71.1341525197798,-33.3533500269687
2010-08-21,-71.1341525258159,-33.3533500493971
2010-08-22,-71.1341525159035,-33.3533500656581
2010-08-23,-71.1341525119349,-33.3533500569603
2010-08-24,-71.1341528492258,-33.3533500891821
2010-08-25,-71.1341525575692,-33.3533500085385
2010-08-26,-71.1341525629175,-33.3533500198091
2010-08-27,-71.1341524829455,-33.3533500154452
2010-08-28,-71.1341525202644,-33.3533500679842
2010-08-29,-71.1341525674551,-33.3533500598687
2010-08-30,-71.1341526400493,-33.3533500527488
2010-08-31,-71.1341526215545,-33.3533500440106
2010-09-01,-71.134152565596,-33.353350021707
2010-09-02,-71.1341525375488,-33.3533500230205
2010-09-03,-71.1341525267239,-33.3533500217668
2010-09-04,-71.1341525132375,-33.3533500408027
2010-09-05,-71.1341524978105,-33.3533500440424
2010-09-06,-71.134152503759,-33.3533500186669
2010-09-07,-71.1341524852996,-33.3533500504648
2010-09-08,-71.1341525087102,-33.3533500139799
2010-09-09,-71.1341525468454,-33.35334999753
2010-09-10,-71.1341525408335,-33.3533500236995
2010-09-11,-71.1341525698291,-33.3533500120503
2010-09-12,-71.1341525567725,-33.35335002568
2010-09-13,-71.1341525635709,-33.3533500215914
2010-09-14,-71.1341525644342,-33.3533499897372
2010-09-15,-71.1341525979305,-33.3533499761154
2010-09-16,-71.1341525639433,-33.3533499856447
2010-09-17,-71.1341524691157,-33.3533500003396
2010-09-18,-71.1341525654677,-33.3533499876583
2010-09-19,-71.1341525839891,-33.3533499768745
2010-09-20,-71.1341526215427,-33.3533499845472
2010-09-21,-71.1341525771705,-33.3533500171605
2010-09-22,-71.1341525987061,-33.3533499793729
2010-09-23,-71.1341525680452,-33.3533499669285
2010-09-24,-71.1341526230189,-33.3533499747621
2010-09-25,-71.1341526557798,-33.3533499669143
2010-09-26,-71.1341526935659,-33.3533499769027
2010-09-27,-71.1341526120179,-33.3533499464992
2010-09-28,-71.1341525798967,-33.3533499742497
2010-09-29,-71.1341526795506,-33.3533499713111
2010-09-30,-71.1341526874798,-33.3533499846446
2010-10-01,-71.1341526462288,-33.3533499514036
2010-10-02,-71.1341526286876,-33.3533499860641
2010-10-03,-71.1341525935861,-33.3533499603551
2010-10-04,-71.1341526417502,-33.353349938121
2010-10-05,-71.1341526396245,-33.3533499627385
2010-10-06,-71.1341526528034,-33.3533499452136
2010-10-07,-71.1341525392073,-33.3533499343052
2010-10-08,-71.1341526046402,-33.3533499417427
2010-10-09,-71.1341525800079,-33.3533499381644
2010-10-10,-71.1341525931917,-33.3533499207892
2010-10-11,-71.1341525934483,-33.3533499338041
2010-10-12,-71.1341525830328,-33.3533499222494
2010-10-13,-71.1341525849436,-33.353349924632
2010-10-14,-71.1341525364805,-33.353349925824
2010-10-15,-71.1341525414,-33.3533499169023
2010-10-16,-71.1341525354709,-33.3533499214866
2010-10-17,-71.1341525265332,-33.3533499330054
2010-10-18,-71.1341525545848,-33.353349936326
2010-10-19,-71.1341525570153,-33.3533499129871
2010-10-20,-71.1341525932986,-33.3533499108718
2010-10-21,-71.1341525801006,-33.3533499214552
2010-10-22,-71.1341525420475,-33.3533499513473
2010-10-23,-71.1341526025214,-33.353349907739
2010-10-24,-71.1341525048777,-33.3533499849245
2010-10-25,-71.134152508537,-33.3533499260162
2010-10-26,-71.134152639153,-33.3533499242905
2010-10-27,-71.1341525956531,-33.3533499310243
2010-10-28,-71.1341526667025,-33.3533498694509
2010-10-29,-71.1341525572634,-33.3533499172
2010-10-30,-71.1341526243786,-33.3533499320615
2010-10-31,-71.1341525421853,-33.3533499285436
2010-11-01,-71.1341524942947,-33.3533499832733
2010-11-02,-71.1341525480586,-33.3533499325414
2010-11-03,-71.134152568545,-33.3533499246888
2010-11-04,-71.1341525925626,-33.3533499407736
2010-11-05,-71.1341525619824,-33.3533499619165
2010-11-06,-71.1341525143847,-33.3533499278272
2010-11-07,-71.134152691164,-33.3533499288709
2010-11-08,-71.1341525655532,-33.3533499186478
2010-11-09,-71.1341525352041,-33.3533499308245
2010-11-10,-71.134152577112,-33.353349938785
2010-11-11,-71.1341525864841,-33.3533499487106
2010-11-12,-71.1341525631633,-33.3533499404158
2010-11-13,-71.1341525696513,-33.3533499512838
2010-11-14,-71.1341525044136,-33.3533499606418
2010-11-15,-71.1341525017762,-33.3533499181755
2010-11-16,-71.1341525794172,-33.3533499262551
2010-11-17,-71.1341526261125,-33.3533499225763
2010-11-18,-71.1341526110518,-33.3533498869564
2010-11-19,-71.1341530377649,-33.3533498228072
2010-11-20,-71.1341525969011,-33.3533499128862
2010-11-21,-71.1341525004075,-33.3533499356506
2010-11-22,-71.1341524523139,-33.3533499253744
2010-11-23,-71.134152548865,-33.3533499246896
2010-11-24,-71.1341525014544,-33.3533499292943
2010-11-25,-71.1341525225712,-33.353349907672
2010-11-26,-71.1341524995193,-33.3533499286288
2010-11-27,-71.1341524466082,-33.3533498975995
2010-11-28,-71.134152487344,-33.3533498714983
2010-11-29,-71.1341525131882,-33.3533499284969
