"Fecha","Lon","Lat"
2017-11-12,-69.9128152183585,-26.7458533500544
2017-11-13,-69.9128152282755,-26.7458533154248
2017-11-14,-69.9128152341827,-26.7458533145861
2017-11-15,-69.912815220191,-26.7458533185805
2017-11-16,-69.9128152515087,-26.7458533112451
2017-11-17,-69.9128152223676,-26.7458532982781
2017-11-18,-69.9128151946868,-26.7458532986862
2017-11-19,-69.9128152019662,-26.745853303367
2017-11-20,-69.9128151972484,-26.7458532991166
2017-11-21,-69.9128152038336,-26.7458533047927
2017-11-22,-69.9128152226643,-26.7458533141622
2017-11-23,-69.9128152034554,-26.7458533080486
2017-11-24,-69.9128151808038,-26.745853300978
2017-11-25,-69.912815201919,-26.7458533067617
2017-11-26,-69.9128151987166,-26.7458533132418
2017-11-27,-69.9128151799396,-26.7458533069146
2017-11-28,-69.9128151975928,-26.7458532893495
2017-11-29,-69.9128151924029,-26.7458533073575
2017-11-30,-69.912815177624,-26.745853276195
2017-12-01,-69.9128152088115,-26.7458532458136
2017-12-02,-69.9128151767683,-26.7458532742498
2017-12-03,-69.9128151540473,-26.7458532796764
2017-12-04,-69.9128151610338,-26.7458533111166
2017-12-05,-69.9128151754472,-26.7458532921008
2017-12-06,-69.9128151663206,-26.7458532781896
2017-12-07,-69.9128151586003,-26.745853316224
2017-12-08,-69.9128151678605,-26.7458533056405
2017-12-09,-69.9128151750947,-26.7458533382833
2017-12-10,-69.9128151854053,-26.74585331957
2017-12-11,-69.9128152076896,-26.7458533145454
2017-12-12,-69.9128151858138,-26.7458533242762
2017-12-13,-69.9128152061249,-26.7458533264716
2017-12-14,-69.9128151911446,-26.7458533283405
2017-12-15,-69.9128151881929,-26.7458533106632
2017-12-16,NA,NA
2017-12-17,NA,NA
2017-12-18,NA,NA
2017-12-19,NA,NA
2017-12-20,NA,NA
2017-12-21,NA,NA
2017-12-22,NA,NA
2017-12-23,NA,NA
2017-12-24,NA,NA
2017-12-25,NA,NA
2017-12-26,NA,NA
2017-12-27,NA,NA
2017-12-28,NA,NA
2017-12-29,NA,NA
2017-12-30,NA,NA
2017-12-31,NA,NA
2018-01-01,NA,NA
2018-01-02,NA,NA
2018-01-03,NA,NA
2018-01-04,NA,NA
2018-01-05,NA,NA
2018-01-06,NA,NA
2018-01-07,NA,NA
2018-01-08,NA,NA
2018-01-09,NA,NA
2018-01-10,NA,NA
2018-01-11,NA,NA
2018-01-12,NA,NA
2018-01-13,NA,NA
2018-01-14,NA,NA
2018-01-15,NA,NA
2018-01-16,NA,NA
2018-01-17,NA,NA
2018-01-18,NA,NA
2018-01-19,NA,NA
2018-01-20,NA,NA
2018-01-21,NA,NA
2018-01-22,NA,NA
