"Fecha","Lon","Lat"
2004-02-14,-151.662328182357,8.3100730629105e-09
2004-02-15,-151.662328172687,8.01243187397520e-09
2004-02-16,-151.662328265784,7.96379529948762e-09
2004-02-17,-151.662328249458,8.00178684977332e-09
2004-02-18,-151.662328246748,7.95428844216914e-09
2004-02-19,-151.662328300385,7.90402004165641e-09
2004-02-20,-151.662328258335,7.97755885547854e-09
2004-02-21,-151.662328209807,7.68155607038312e-09
2004-02-22,-151.662328197515,7.94596930035473e-09
2004-02-23,-151.662328223178,7.91951689002093e-09
2004-02-24,-151.662328216335,7.88295103669966e-09
2004-02-25,-151.662328196838,7.81257976264971e-09
2004-02-26,-151.662328227914,7.90892865068602e-09
2004-02-27,-151.662328205672,7.93025236368633e-09
2004-02-28,-151.662328188149,7.92915505945509e-09
2004-02-29,-151.662328238553,8.00185282795762e-09
2004-03-01,-151.662328224979,7.9560491247036e-09
2004-03-02,-151.662328220732,7.76156289713103e-09
2004-03-03,-151.662328255004,7.93615300932254e-09
2004-03-04,-151.662328236956,8.09582116179246e-09
2004-03-05,-151.662328217344,8.08259393574728e-09
2004-03-06,-151.662328228282,7.93743729170484e-09
2004-03-07,-151.662328217566,7.86929407560394e-09
2004-03-08,-151.662328240171,7.9999994789652e-09
2004-03-09,-151.662328263353,8.26138248869058e-09
2004-03-10,-151.662328228672,8.08879146263928e-09
2004-03-11,-151.662328195041,8.02010209121312e-09
2004-03-12,-151.662328232354,8.14046298076932e-09
2004-03-13,-151.662328216364,8.01793990394325e-09
2004-03-14,-151.662328225572,7.97796282304999e-09
2004-03-15,-151.662328225188,8.01128686434895e-09
2004-03-16,-151.66232823256,8.02749296996637e-09
2004-03-17,-151.662328238072,8.46910177057785e-09
2004-03-18,-151.662328256149,8.31418847757439e-09
2004-03-19,NA,NA
2004-03-20,NA,NA
2004-03-21,NA,NA
2004-03-22,NA,NA
2004-03-23,NA,NA
2004-03-24,NA,NA
2004-03-25,NA,NA
2004-03-26,-151.662328218594,9.06582555597668e-09
2004-03-27,-151.662328226627,8.31394524317596e-09
2004-03-28,-151.662328266335,8.21246790723556e-09
2004-03-29,-151.662328210954,8.64905673455727e-09
2004-03-30,-151.662328225562,8.34825671946651e-09
2004-03-31,-151.662328208319,8.249220619267e-09
2004-04-01,-151.662328225605,8.34090668482560e-09
2004-04-02,-151.662328228114,8.23388030115347e-09
2004-04-03,-151.662328235869,8.14498500058805e-09
2004-04-04,-151.662328223302,7.8292740915133e-09
2004-04-05,-151.662328210695,8.06442309180507e-09
2004-04-06,-151.662328240912,8.15410049437462e-09
2004-04-07,-151.66232826194,8.78170019772647e-09
