"Fecha","Lon","Lat"
2010-03-12,-73.2148520252693,-39.4313779675729
2010-03-13,-73.2148520217472,-39.4313780140971
2010-03-14,-73.2148519939625,-39.4313780115034
2010-03-15,-73.2148519918189,-39.4313779827256
2010-03-16,-73.2148520045141,-39.4313780072612
2010-03-17,-73.2148519800216,-39.4313779999119
2010-03-18,-73.214851970832,-39.4313780214741
2010-03-19,-73.2148519803554,-39.4313779969971
2010-03-20,-73.2148519775759,-39.4313780083251
2010-03-21,-73.2148520009065,-39.4313780052346
2010-03-22,-73.2148519993918,-39.431377994887
2010-03-23,-73.2148519753125,-39.4313780185449
2010-03-24,-73.2148519807713,-39.4313779924135
2010-03-25,-73.2148519818025,-39.4313779932805
2010-03-26,-73.2148520036544,-39.4313780279138
2010-03-27,-73.2148520082523,-39.4313779926128
2010-03-28,-73.2148520066702,-39.4313780093683
2010-03-29,-73.2148519784689,-39.4313780138697
2010-03-30,-73.2148519819819,-39.4313780122447
2010-03-31,-73.2148520046806,-39.4313780071108
2010-04-01,-73.2148520068302,-39.4313780231889
2010-04-02,-73.2148519744896,-39.43137801921
2010-04-03,-73.2148519648962,-39.4313780242466
2010-04-04,-73.2148519783165,-39.4313780068024
2010-04-05,-73.2148519854291,-39.4313779958674
2010-04-06,-73.2148519997475,-39.4313780528761
2010-04-07,-73.2148520068923,-39.4313779891907
2010-04-08,-73.2148519863097,-39.4313780083997
2010-04-09,-73.2148519834214,-39.4313780152724
2010-04-10,-73.2148519537078,-39.4313780291962
2010-04-11,-73.2148519785402,-39.4313780243637
2010-04-12,-73.2148520021118,-39.4313779946014
2010-04-13,-73.2148519696738,-39.4313780386807
2010-04-14,-73.2148519948266,-39.4313780172519
2010-04-15,-73.2148519932118,-39.4313780219008
2010-04-16,-73.2148520002561,-39.4313780582299
2010-04-17,-73.2148519568618,-39.4313780485492
2010-04-18,-73.2148519775338,-39.4313780438224
2010-04-19,-73.21485198488,-39.4313780494283
2010-04-20,-73.2148519820348,-39.4313780383238
2010-04-21,-73.2148519977187,-39.431378042385
2010-04-22,-73.2148519918526,-39.431378022287
2010-04-23,-73.2148519981311,-39.4313779962857
2010-04-24,-73.2148520010162,-39.4313780156886
2010-04-25,-73.2148519859385,-39.4313780393914
2010-04-26,-73.2148520007128,-39.4313780524306
2010-04-27,-73.2148519969213,-39.431378066932
2010-04-28,-73.2148519898394,-39.4313780704698
2010-04-29,-73.2148519974152,-39.431378040079
2010-04-30,-73.2148520064307,-39.4313780484926
2010-05-01,-73.2148519974567,-39.431378047588
2010-05-02,-73.214851976549,-39.4313780519117
2010-05-03,-73.2148519773179,-39.4313780614387
