"Fecha","Lon","Lat"
2017-01-01,-69.6557528621586,-19.761280325895
2017-01-02,-69.6557529029991,-19.7612802857471
2017-01-03,-69.6557528888436,-19.7612803372266
2017-01-04,-69.6557529134306,-19.7612803353415
2017-01-05,-69.6557528692563,-19.7612803307856
2017-01-06,-69.6557528986494,-19.7612803429826
2017-01-07,-69.6557529046302,-19.761280329167
2017-01-08,-69.6557529216319,-19.7612803290306
2017-01-09,-69.655752894122,-19.7612803127648
2017-01-10,-69.6557528940367,-19.761280331546
2017-01-11,-69.6557528908487,-19.7612803206912
2017-01-12,-69.6557528854176,-19.76128029993
2017-01-13,-69.6557529133899,-19.7612803097997
2017-01-14,NA,NA
2017-01-15,-69.6557528966542,-19.7612803299812
2017-01-16,-69.6557528837344,-19.7612803294798
2017-01-17,-69.655752901684,-19.7612803066041
2017-01-18,-69.6557529069792,-19.7612802984979
2017-01-19,-69.6557528879671,-19.7612803288065
2017-01-20,-69.6557529070114,-19.7612803095415
2017-01-21,-69.6557528657181,-19.7612803156194
2017-01-22,-69.6557528353219,-19.7612803033362
2017-01-23,-69.655752869614,-19.7612803116719
2017-01-24,-69.6557528597024,-19.7612802975811
2017-01-25,-69.6557528744037,-19.7612803485098
2017-01-26,-69.6557528950437,-19.7612803189624
2017-01-27,-69.6557529135104,-19.7612803089606
2017-01-28,-69.6557528559384,-19.7612803431988
2017-01-29,-69.6557528813652,-19.7612803066433
2017-01-30,-69.6557528970513,-19.7612803341553
2017-01-31,-69.6557528914805,-19.7612803095546
2017-02-01,-69.6557528675585,-19.7612803083396
2017-02-02,-69.6557528757972,-19.7612803056237
2017-02-03,-69.6557528587637,-19.7612802895039
2017-02-04,-69.6557528777654,-19.7612802878258
2017-02-05,-69.6557528884343,-19.761280308334
2017-02-06,-69.6557528641494,-19.7612803262492
2017-02-07,-69.6557528876548,-19.7612802915303
2017-02-08,-69.6557528694794,-19.7612803037497
2017-02-09,-69.6557528121752,-19.7612803319016
2017-02-10,-69.6557529029253,-19.761280274552
2017-02-11,-69.6557528767675,-19.761280313685
2017-02-12,-69.6557528666435,-19.7612802799386
2017-02-13,-69.6557528686084,-19.7612802936418
2017-02-14,-69.6557528497429,-19.7612803051909
2017-02-15,-69.6557528704142,-19.7612803130013
2017-02-16,-69.6557528792723,-19.7612802971937
2017-02-17,-69.6557528780126,-19.7612803173759
2017-02-18,-69.6557528842668,-19.7612802812383
2017-02-19,-69.6557528443824,-19.7612802893465
2017-02-20,-69.6557528428607,-19.7612802891679
2017-02-21,-69.6557528747699,-19.7612803021078
2017-02-22,-69.6557528820832,-19.7612803082256
2017-02-23,-69.6557528870905,-19.7612802766658
2017-02-24,-69.6557528899034,-19.7612803097623
2017-02-25,-69.6557528756087,-19.7612803077638
2017-02-26,-69.6557529325777,-19.7612803264656
2017-02-27,NA,NA
2017-02-28,-69.6557528729579,-19.7612802989042
