"Fecha","Lon","Lat"
2010-04-01,-72.0038432065865,-34.3848988114453
2010-04-02,-72.0038431864387,-34.3848988020945
2010-04-03,-72.0038432044111,-34.3848987969545
2010-04-04,-72.0038432157639,-34.3848987911662
2010-04-05,-72.0038432333876,-34.3848987673281
2010-04-06,NA,NA
2010-04-07,-72.0038432912451,-34.3848987385029
2010-04-08,-72.0038432918562,-34.3848987207296
2010-04-09,NA,NA
2010-04-10,-72.0038433480188,-34.384898741961
2010-04-11,-72.0038433328604,-34.3848987049238
2010-04-12,-72.0038433656514,-34.3848986840107
2010-04-13,-72.0038433676755,-34.3848987071132
2010-04-14,-72.0038433901523,-34.3848986917784
2010-04-15,-72.0038434036803,-34.3848986905074
2010-04-16,-72.0038434367378,-34.3848987047449
2010-04-17,-72.0038434315255,-34.384898680155
2010-04-18,-72.0038434528156,-34.3848986647296
2010-04-19,-72.003843453074,-34.3848986625316
2010-04-20,-72.0038434364895,-34.3848986490488
2010-04-21,-72.0038434594536,-34.3848986730299
2010-04-22,-72.0038434495663,-34.3848986492592
2010-04-23,-72.0038434762981,-34.3848986185834
2010-04-24,-72.003843495141,-34.38489860862
2010-04-25,-72.0038435051737,-34.3848986084328
2010-04-26,-72.003843527871,-34.3848986135839
2010-04-27,-72.0038435491709,-34.3848986216666
2010-04-28,-72.0038435327238,-34.3848986417977
2010-04-29,-72.0038435468547,-34.3848986050785
2010-04-30,-72.0038435704643,-34.3848985910337
2010-05-01,-72.0038435662802,-34.384898584039
2010-05-02,-72.0038435482396,-34.384898570065
2010-05-03,-72.003843558437,-34.3848986022858
2010-05-04,-72.0038435784916,-34.384898559242
2010-05-05,NA,NA
2010-05-06,NA,NA
2010-05-07,NA,NA
2010-05-08,NA,NA
2010-05-09,NA,NA
2010-05-10,-72.0038436649438,-34.3848985029147
2010-05-11,NA,NA
2010-05-12,-72.0038436657993,-34.3848985023287
2010-05-13,-72.0038436973756,-34.3848985016555
2010-05-14,NA,NA
2010-05-15,-72.0038436917903,-34.3848984741302
2010-05-16,NA,NA
2010-05-17,-72.0038436900287,-34.3848984721846
2010-05-18,-72.0038436867661,-34.384898473786
2010-05-19,NA,NA
2010-05-20,-72.0038437247761,-34.384898436943
2010-05-21,-72.0038437167848,-34.3848984300421
2010-05-22,-72.0038437396618,-34.3848984438133
2010-05-23,NA,NA
2010-05-24,NA,NA
2010-05-25,-72.003843787197,-34.3848984599224
2010-05-26,NA,NA
2010-05-27,NA,NA
2010-05-28,NA,NA
2010-05-29,-72.0038437998261,-34.3848983901709
2010-05-30,NA,NA
2010-05-31,NA,NA
2010-06-01,NA,NA
2010-06-02,NA,NA
2010-06-03,NA,NA
2010-06-04,NA,NA
2010-06-05,NA,NA
2010-06-06,NA,NA
2010-06-07,NA,NA
2010-06-08,NA,NA
2010-06-09,NA,NA
2010-06-10,NA,NA
2010-06-11,NA,NA
2010-06-12,NA,NA
2010-06-13,NA,NA
2010-06-14,NA,NA
2010-06-15,NA,NA
2010-06-16,NA,NA
2010-06-17,NA,NA
2010-06-18,NA,NA
2010-06-19,NA,NA
2010-06-20,NA,NA
2010-06-21,NA,NA
2010-06-22,NA,NA
2010-06-23,NA,NA
2010-06-24,NA,NA
2010-06-25,NA,NA
2010-06-26,NA,NA
2010-06-27,NA,NA
2010-06-28,NA,NA
2010-06-29,NA,NA
2010-06-30,NA,NA
2010-07-01,NA,NA
2010-07-02,NA,NA
2010-07-03,NA,NA
2010-07-04,NA,NA
2010-07-05,NA,NA
2010-07-06,NA,NA
2010-07-07,NA,NA
2010-07-08,NA,NA
