"Fecha","Lon","Lat"
2010-05-25,-73.6505689557157,-37.6869626339019
2010-05-26,-73.6505689752123,-37.6869626164148
2010-05-27,-73.6505689735848,-37.6869626149893
2010-05-28,-73.6505690040822,-37.6869626095932
2010-05-29,-73.6505690165522,-37.6869626148637
2010-05-30,-73.6505690158324,-37.6869626118778
2010-05-31,-73.6505690045762,-37.686962602836
2010-06-01,-73.6505690315384,-37.6869626216447
2010-06-02,-73.6505690648746,-37.6869626000848
2010-06-03,-73.6505690638588,-37.6869626259833
2010-06-04,-73.6505690718673,-37.6869626251433
2010-06-05,-73.6505690820387,-37.686962622861
2010-06-06,NA,NA
2010-06-07,NA,NA
2010-06-08,NA,NA
2010-06-09,NA,NA
2010-06-10,NA,NA
2010-06-11,NA,NA
2010-06-12,NA,NA
2010-06-13,NA,NA
2010-06-14,NA,NA
2010-06-15,NA,NA
2010-06-16,NA,NA
2010-06-17,NA,NA
2010-06-18,NA,NA
2010-06-19,NA,NA
2010-06-20,NA,NA
2010-06-21,NA,NA
2010-06-22,NA,NA
2010-06-23,NA,NA
2010-06-24,NA,NA
2010-06-25,NA,NA
2010-06-26,NA,NA
2010-06-27,NA,NA
2010-06-28,NA,NA
2010-06-29,NA,NA
2010-06-30,NA,NA
2010-07-01,NA,NA
2010-07-02,NA,NA
2010-07-03,NA,NA
2010-07-04,NA,NA
2010-07-05,NA,NA
2010-07-06,NA,NA
2010-07-07,NA,NA
2010-07-08,NA,NA
2010-07-09,NA,NA
2010-07-10,NA,NA
2010-07-11,NA,NA
2010-07-12,NA,NA
2010-07-13,NA,NA
2010-07-14,NA,NA
2010-07-15,NA,NA
2010-07-16,NA,NA
2010-07-17,NA,NA
2010-07-18,NA,NA
2010-07-19,NA,NA
2010-07-20,-73.6505695511231,-37.6869626453888
2010-07-21,-73.6505695675375,-37.6869626569439
2010-07-22,-73.6505695549677,-37.6869626399195
2010-07-23,-73.6505695400877,-37.686962638406
2010-07-24,-73.6505695583376,-37.6869626352421
2010-07-25,-73.6505695774248,-37.6869626580364
2010-07-26,-73.6505695790366,-37.6869626448
2010-07-27,-73.6505695822742,-37.6869626513911
2010-07-28,-73.6505696069933,-37.6869626481232
2010-07-29,-73.6505696312454,-37.6869626633623
2010-07-30,-73.6505696493874,-37.6869626530182
2010-07-31,-73.6505696154138,-37.6869626547389
2010-08-01,-73.6505696375903,-37.6869626558985
2010-08-02,-73.6505696551929,-37.6869626361322
2010-08-03,-73.6505696536702,-37.6869626510605
2010-08-04,-73.6505696729296,-37.6869626273309
2010-08-05,-73.6505696884298,-37.6869626403675
2010-08-06,-73.6505697124094,-37.6869626612467
2010-08-07,-73.6505696913923,-37.6869626551926
2010-08-08,-73.6505697001963,-37.6869626665182
2010-08-09,-73.6505697076363,-37.6869626764217
2010-08-10,-73.6505697263057,-37.6869626620686
2010-08-11,-73.6505697480629,-37.6869626624395
2010-08-12,-73.650569716575,-37.6869626613499
2010-08-13,-73.6505697218468,-37.6869626647867
2010-08-14,-73.6505697337036,-37.6869626694695
2010-08-15,-73.6505697611784,-37.6869626498816
2010-08-16,-73.6505697438166,-37.686962679859
2010-08-17,-73.6505697670658,-37.6869626653326
2010-08-18,-73.6505697598978,-37.686962676695
2010-08-19,-73.6505697659948,-37.6869626553883
2010-08-20,-73.6505697606128,-37.6869626439572
2010-08-21,-73.650569797098,-37.686962658566
2010-08-22,-73.65056979083,-37.6869626716133
2010-08-23,-73.6505697847539,-37.6869626533309
2010-08-24,-73.6505698273328,-37.6869626741177
2010-08-25,-73.6505698050252,-37.6869626661045
2010-08-26,-73.6505698304201,-37.6869626613593
2010-08-27,-73.6505698217099,-37.686962660653
2010-08-28,-73.6505698217262,-37.6869626759186
2010-08-29,-73.6505698590715,-37.6869626683592
2010-08-30,-73.6505698520639,-37.6869626792414
2010-08-31,-73.6505698761245,-37.686962679242
2010-09-01,-73.650569847932,-37.6869626705951
2010-09-02,-73.6505698585523,-37.686962680469
2010-09-03,-73.6505698680819,-37.686962672045
2010-09-04,-73.6505698641628,-37.686962680538
2010-09-05,-73.6505698878178,-37.6869626804313
2010-09-06,-73.6505699039379,-37.6869626677927
2010-09-07,-73.6505698995471,-37.6869626845219
2010-09-08,-73.6505699037383,-37.686962666148
2010-09-09,-73.6505699189151,-37.686962658261
2010-09-10,-73.6505699314363,-37.6869626765769
2010-09-11,-73.6505699381082,-37.686962684541
2010-09-12,-73.6505699467403,-37.686962694159
2010-09-13,-73.6505699507275,-37.6869626867186
2010-09-14,-73.650569976985,-37.6869626595342
2010-09-15,-73.6505699746368,-37.6869626601945
2010-09-16,-73.6505699435868,-37.6869626599646
2010-09-17,-73.6505699517744,-37.686962689293
2010-09-18,-73.6505699809518,-37.6869626709938
2010-09-19,-73.6505700061984,-37.686962670199
2010-09-20,-73.6505700092268,-37.6869626633044
2010-09-21,-73.6505700053107,-37.6869626578176
2010-09-22,-73.6505700090225,-37.6869626791568
2010-09-23,-73.6505700213312,-37.6869626744775
2010-09-24,-73.650570023901,-37.6869626652994
2010-09-25,-73.6505700395254,-37.6869626713736
2010-09-26,-73.6505700202933,-37.686962646048
2010-09-27,-73.6505700384599,-37.686962627221
2010-09-28,-73.6505700271785,-37.6869626615004
2010-09-29,-73.6505700891704,-37.6869626668131
2010-09-30,-73.6505700743201,-37.6869626803475
2010-10-01,-73.6505700892127,-37.6869626616909
2010-10-02,-73.6505700470869,-37.6869626928905
2010-10-03,-73.6505700538011,-37.6869626553172
2010-10-04,-73.6505700521489,-37.6869626396938
2010-10-05,-73.6505700818643,-37.6869626787747
