"Fecha","Lon","Lat"
2016-01-21,-72.3454993987865,-39.6321607039435
2016-01-22,-72.3454994302488,-39.6321607375519
2016-01-23,-72.3454994177069,-39.6321607199171
2016-01-24,-72.3454994067549,-39.6321607250121
2016-01-25,-72.3454993820771,-39.63216070936
2016-01-26,-72.3454993956888,-39.6321607357464
2016-01-27,-72.3454993897606,-39.6321607204302
2016-01-28,-72.3454994197671,-39.6321607277329
2016-01-29,-72.345499388651,-39.6321607422604
2016-01-30,-72.3454993812197,-39.632160761012
2016-01-31,-72.3454994155841,-39.6321607550316
2016-02-01,-72.3454994105712,-39.6321607167989
2016-02-02,-72.3454994000265,-39.6321606975594
2016-02-03,-72.3454994194992,-39.6321607277525
2016-02-04,-72.3454994002081,-39.6321607407711
2016-02-05,-72.3454993689308,-39.6321607256454
2016-02-06,-72.3454994033131,-39.6321607253233
2016-02-07,NA,NA
2016-02-08,NA,NA
2016-02-09,NA,NA
2016-02-10,NA,NA
2016-02-11,NA,NA
2016-02-12,NA,NA
2016-02-13,NA,NA
2016-02-14,NA,NA
2016-02-15,NA,NA
2016-02-16,NA,NA
2016-02-17,NA,NA
2016-02-18,NA,NA
2016-02-19,NA,NA
2016-02-20,NA,NA
2016-02-21,NA,NA
2016-02-22,NA,NA
2016-02-23,NA,NA
2016-02-24,NA,NA
2016-02-25,NA,NA
2016-02-26,NA,NA
2016-02-27,NA,NA
2016-02-28,NA,NA
2016-02-29,NA,NA
2016-03-01,NA,NA
2016-03-02,NA,NA
2016-03-03,NA,NA
2016-03-04,NA,NA
2016-03-05,NA,NA
2016-03-06,NA,NA
2016-03-07,NA,NA
2016-03-08,NA,NA
2016-03-09,NA,NA
2016-03-10,NA,NA
2016-03-11,NA,NA
2016-03-12,NA,NA
2016-03-13,NA,NA
2016-03-14,NA,NA
2016-03-15,NA,NA
2016-03-16,NA,NA
2016-03-17,NA,NA
2016-03-18,NA,NA
2016-03-19,NA,NA
2016-03-20,NA,NA
2016-03-21,NA,NA
2016-03-22,NA,NA
2016-03-23,NA,NA
2016-03-24,NA,NA
2016-03-25,NA,NA
2016-03-26,NA,NA
2016-03-27,NA,NA
2016-03-28,NA,NA
2016-03-29,NA,NA
2016-03-30,NA,NA
2016-03-31,NA,NA
2016-04-01,NA,NA
2016-04-02,NA,NA
2016-04-03,NA,NA
2016-04-04,NA,NA
2016-04-05,NA,NA
2016-04-06,NA,NA
2016-04-07,NA,NA
2016-04-08,NA,NA
2016-04-09,NA,NA
2016-04-10,NA,NA
2016-04-11,NA,NA
2016-04-12,NA,NA
2016-04-13,NA,NA
2016-04-14,NA,NA
2016-04-15,NA,NA
2016-04-16,NA,NA
2016-04-17,NA,NA
2016-04-18,NA,NA
2016-04-19,NA,NA
2016-04-20,NA,NA
2016-04-21,NA,NA
2016-04-22,NA,NA
2016-04-23,NA,NA
2016-04-24,NA,NA
2016-04-25,NA,NA
2016-04-26,NA,NA
2016-04-27,NA,NA
2016-04-28,NA,NA
2016-04-29,NA,NA
2016-04-30,NA,NA
2016-05-01,NA,NA
2016-05-02,NA,NA
2016-05-03,NA,NA
2016-05-04,NA,NA
2016-05-05,NA,NA
2016-05-06,NA,NA
2016-05-07,NA,NA
2016-05-08,NA,NA
2016-05-09,NA,NA
2016-05-10,NA,NA
2016-05-11,NA,NA
2016-05-12,NA,NA
2016-05-13,NA,NA
2016-05-14,NA,NA
2016-05-15,NA,NA
2016-05-16,NA,NA
2016-05-17,NA,NA
2016-05-18,NA,NA
2016-05-19,NA,NA
2016-05-20,NA,NA
2016-05-21,NA,NA
2016-05-22,NA,NA
2016-05-23,NA,NA
2016-05-24,NA,NA
2016-05-25,NA,NA
2016-05-26,NA,NA
2016-05-27,NA,NA
2016-05-28,NA,NA
2016-05-29,NA,NA
2016-05-30,NA,NA
2016-05-31,NA,NA
2016-06-01,NA,NA
2016-06-02,NA,NA
2016-06-03,NA,NA
2016-06-04,NA,NA
2016-06-05,NA,NA
2016-06-06,NA,NA
