"Fecha","Lon","Lat"
2012-01-07,-73.7349828837054,-40.5864163668878
2012-01-08,-73.7349829067104,-40.5864163467735
2012-01-09,-73.7349829302355,-40.586416349874
2012-01-10,-73.7349828640427,-40.5864163782558
2012-01-11,-73.7349828563979,-40.5864163681172
2012-01-12,-73.7349828822186,-40.5864163505182
2012-01-13,-73.7349828464157,-40.5864163934008
2012-01-14,-73.7349828543996,-40.586416363339
2012-01-15,-73.7349828235162,-40.5864163465271
2012-01-16,-73.7349828357194,-40.5864163661315
2012-01-17,-73.7349828359297,-40.5864163507517
2012-01-18,-73.7349828208697,-40.5864163906864
2012-01-19,-73.7349828436678,-40.5864164029949
2012-01-20,-73.7349828561536,-40.5864163760061
2012-01-21,-73.7349828198755,-40.5864163761574
2012-01-22,-73.7349828678397,-40.5864163741122
2012-01-23,-73.7349828876274,-40.586416344352
2012-01-24,-73.7349828248986,-40.5864163886746
2012-01-25,-73.7349828480716,-40.5864163556954
2012-01-26,-73.7349828473777,-40.5864163439788
2012-01-27,-73.734982819418,-40.5864163668814
2012-01-28,-73.7349828535379,-40.5864163161331
2012-01-29,-73.7349829037002,-40.586416331786
2012-01-30,-73.7349828695766,-40.5864163537253
2012-01-31,-73.7349828575819,-40.5864163601452
2012-02-01,-73.7349828190261,-40.5864163454484
2012-02-02,-73.7349828451475,-40.586416365529
2012-02-03,NA,NA
2012-02-04,NA,NA
2012-02-05,NA,NA
2012-02-06,NA,NA
2012-02-07,NA,NA
2012-02-08,-73.7349828194018,-40.5864163631228
2012-02-09,-73.7349828018287,-40.5864163803247
2012-02-10,-73.7349828134846,-40.5864163761984
2012-02-11,-73.7349828334871,-40.5864163758109
2012-02-12,-73.7349828444868,-40.5864163456763
2012-02-13,-73.7349828069448,-40.5864163436351
2012-02-14,-73.7349828172867,-40.5864163536419
2012-02-15,-73.7349828148396,-40.586416364632
2012-02-16,-73.7349828082352,-40.5864163611143
2012-02-17,-73.7349828342133,-40.5864163288561
2012-02-18,-73.7349828280591,-40.5864163656607
2012-02-19,-73.7349827916561,-40.5864163648917
2012-02-20,-73.7349828054938,-40.5864163603523
2012-02-21,-73.7349828212445,-40.5864163312498
2012-02-22,-73.7349827717332,-40.5864163573403
2012-02-23,-73.7349828103341,-40.5864163597446
2012-02-24,-73.734982790866,-40.5864163642297
2012-02-25,-73.7349827574478,-40.5864163573537
2012-02-26,-73.7349827982322,-40.5864163610405
2012-02-27,-73.7349828022663,-40.5864163435091
2012-02-28,-73.7349828142198,-40.5864163566868
2012-02-29,-73.7349827536314,-40.5864163556408
2012-03-01,-73.7349827742381,-40.5864163432469
2012-03-02,-73.7349828312316,-40.5864163367052
2012-03-03,-73.7349828141662,-40.5864163408562
2012-03-04,-73.7349828330243,-40.5864163279955
2012-03-05,-73.7349827969361,-40.5864163695146
2012-03-06,-73.7349827548966,-40.5864163256506
2012-03-07,-73.7349828065751,-40.586416372618
2012-03-08,-73.734982757256,-40.5864163825687
2012-03-09,-73.7349827637156,-40.5864163492009
2012-03-10,-73.7349828062408,-40.586416376236
2012-03-11,-73.7349827789749,-40.586416356114
2012-03-12,-73.7349828194397,-40.5864163489954
2012-03-13,-73.7349827867691,-40.5864163666549
2012-03-14,-73.734982822914,-40.5864163953115
2012-03-15,-73.7349827826186,-40.5864163905488
2012-03-16,-73.7349828057318,-40.5864163660382
2012-03-17,-73.7349827620794,-40.5864163796243
2012-03-18,-73.7349827935708,-40.5864163740379
2012-03-19,-73.7349827884641,-40.5864163545935
2012-03-20,-73.7349827389586,-40.5864163902857
2012-03-21,-73.7349827314802,-40.5864163983
2012-03-22,-73.7349828135653,-40.5864163471301
2012-03-23,-73.7349828044708,-40.5864163604982
2012-03-24,-73.7349827968766,-40.5864163635897
2012-03-25,-73.7349827844091,-40.586416374693
2012-03-26,-73.7349828080903,-40.5864163609272
2012-03-27,-73.7349827738841,-40.5864163755326
2012-03-28,-73.7349828315018,-40.5864163535045
2012-03-29,-73.7349827706664,-40.5864163440768
2012-03-30,-73.7349827600338,-40.5864163729707
2012-03-31,-73.7349828556668,-40.5864163677752
2012-04-01,-73.7349828352196,-40.5864163585463
2012-04-02,-73.7349827800254,-40.5864163502054
2012-04-03,-73.7349828118583,-40.586416353726
2012-04-04,-73.7349827755095,-40.5864163596579
2012-04-05,-73.7349828187757,-40.5864163828131
2012-04-06,-73.734982842771,-40.5864163481752
2012-04-07,-73.7349827645738,-40.586416322773
2012-04-08,-73.7349828443811,-40.5864163167526
2012-04-09,-73.7349827879158,-40.586416335189
2012-04-10,-73.73498275987,-40.5864163273713
2012-04-11,-73.7349828399614,-40.5864163439342
2012-04-12,-73.7349828275741,-40.5864163542719
2012-04-13,-73.7349827257571,-40.5864163257557
2012-04-14,-73.7349828291752,-40.5864163658491
2012-04-15,-73.7349827707437,-40.5864163694783
2012-04-16,-73.7349827763719,-40.586416330726
2012-04-17,-73.7349828094775,-40.5864163438152
2012-04-18,-73.7349828387687,-40.5864163437475
2012-04-19,-73.7349828226424,-40.5864163549676
2012-04-20,-73.7349827535689,-40.5864163350191
2012-04-21,-73.7349827672834,-40.5864163651958
2012-04-22,-73.7349828404874,-40.58641635038
2012-04-23,-73.7349827550849,-40.5864163733558
2012-04-24,-73.7349827718764,-40.5864163255682
2012-04-25,-73.7349827534428,-40.586416350234
2012-04-26,-73.7349827929416,-40.5864163633576
2012-04-27,-73.734982796284,-40.5864163639182
2012-04-28,-73.7349827367442,-40.586416332474
2012-04-29,-73.7349827328822,-40.586416350415
2012-04-30,-73.7349827934657,-40.5864163482775
2012-05-01,-73.7349827818526,-40.5864163418445
2012-05-02,-73.7349828539861,-40.5864163585669
2012-05-03,-73.7349827931283,-40.5864163522944
2012-05-04,-73.7349827957973,-40.5864163405579
2012-05-05,-73.7349827640135,-40.5864163226208
2012-05-06,-73.7349827483438,-40.5864163354466
2012-05-07,-73.7349826985974,-40.5864163094932
2012-05-08,-73.7349827206856,-40.5864163145182
2012-05-09,-73.7349827358964,-40.5864163312687
2012-05-10,-73.7349827327597,-40.586416301472
2012-05-11,-73.7349827721127,-40.5864163127338
2012-05-12,-73.7349827891352,-40.5864163284773
2012-05-13,-73.7349827733428,-40.5864163029848
2012-05-14,-73.7349827723141,-40.5864163351968
2012-05-15,-73.7349827648692,-40.5864163284339
2012-05-16,-73.7349827580397,-40.5864163257739
2012-05-17,-73.7349827452675,-40.5864163272315
2012-05-18,-73.7349827525453,-40.5864163332358
2012-05-19,-73.7349828535176,-40.5864163415131
2012-05-20,-73.7349828030873,-40.5864163275529
2012-05-21,-73.7349827985014,-40.5864163085859
2012-05-22,-73.7349828236553,-40.5864163120472
2012-05-23,-73.7349827292708,-40.5864163609632
2012-05-24,-73.7349827611559,-40.5864163454171
2012-05-25,-73.734982737066,-40.5864163546221
2012-05-26,-73.7349828099154,-40.5864163633587
2012-05-27,-73.7349827711058,-40.5864162994666
2012-05-28,-73.7349828027258,-40.5864162988935
2012-05-29,-73.7349827356428,-40.5864163432147
2012-05-30,-73.7349827754342,-40.5864163471803
2012-05-31,-73.7349827549277,-40.5864163131997
2012-06-01,NA,NA
2012-06-02,-73.7349827446011,-40.5864163283939
2012-06-03,-73.7349827553004,-40.5864163009394
2012-06-04,-73.7349827486274,-40.5864163231487
2012-06-05,-73.7349826761469,-40.5864163279108
2012-06-06,-73.7349826959997,-40.5864163189258
2012-06-07,-73.7349827435699,-40.5864163348411
2012-06-08,-73.7349827447236,-40.5864163228239
2012-06-09,-73.7349827364091,-40.5864163265041
2012-06-10,-73.7349827451163,-40.5864163253932
2012-06-11,-73.7349827206875,-40.5864163599326
2012-06-12,-73.7349827404357,-40.5864163254742
2012-06-13,-73.7349827727458,-40.5864162760914
2012-06-14,-73.734982703768,-40.5864163277348
2012-06-15,-73.7349827225006,-40.5864162905561
2012-06-16,-73.7349827180858,-40.5864163226383
2012-06-17,-73.7349827105197,-40.5864163358999
2012-06-18,-73.734982730438,-40.5864163212645
2012-06-19,-73.7349827280213,-40.5864163156258
2012-06-20,-73.7349827300012,-40.5864162947767
2012-06-21,-73.7349827122644,-40.5864163298472
2012-06-22,-73.734982725714,-40.5864163013756
2012-06-23,-73.7349827201722,-40.586416323706
2012-06-24,-73.7349827060198,-40.5864163035903
2012-06-25,-73.734982743268,-40.5864163156046
2012-06-26,-73.7349827421283,-40.5864163143057
2012-06-27,-73.7349827583134,-40.5864162704001
2012-06-28,-73.7349826980385,-40.5864163035401
2012-06-29,-73.7349827738607,-40.5864163058054
2012-06-30,-73.7349827169198,-40.5864162846505
2012-07-01,-73.7349827629134,-40.5864162667842
2012-07-02,-73.7349827022532,-40.5864163168042
2012-07-03,-73.7349827062321,-40.5864163165177
2012-07-04,-73.734982703344,-40.5864163090511
2012-07-05,-73.7349826903809,-40.5864163284218
2012-07-06,-73.7349827135981,-40.5864163050874
2012-07-07,-73.7349826980817,-40.5864163116564
2012-07-08,-73.7349827083371,-40.5864163059881
2012-07-09,-73.7349827392727,-40.5864163179212
2012-07-10,-73.7349826998047,-40.5864163152897
2012-07-11,-73.7349827123601,-40.586416328548
2012-07-12,-73.7349826945375,-40.5864163108697
2012-07-13,-73.7349826899737,-40.5864163466414
2012-07-14,-73.7349827049441,-40.5864162983543
2012-07-15,-73.7349827159587,-40.5864162965747
2012-07-16,-73.7349826546222,-40.5864163133147
2012-07-17,-73.7349826986559,-40.586416308228
2012-07-18,-73.7349826970675,-40.5864163420081
2012-07-19,-73.7349827023426,-40.5864162913671
2012-07-20,-73.7349827451812,-40.5864162729385
2012-07-21,-73.7349827356547,-40.5864162989992
2012-07-22,-73.734982689528,-40.5864163193463
2012-07-23,-73.7349826812446,-40.5864163086906
2012-07-24,-73.7349827140689,-40.5864163053639
2012-07-25,-73.7349827053386,-40.5864163214919
2012-07-26,-73.7349826762977,-40.5864163008565
2012-07-27,-73.7349827027427,-40.5864163151654
2012-07-28,-73.7349827094749,-40.5864163021176
2012-07-29,-73.7349826823455,-40.5864163213508
2012-07-30,-73.734982712127,-40.5864163120731
2012-07-31,-73.7349827050921,-40.5864163139588
2012-08-01,-73.7349827052016,-40.5864163318346
2012-08-02,-73.7349827183611,-40.5864163266149
2012-08-03,-73.7349826729626,-40.5864163406017
2012-08-04,-73.7349826829305,-40.5864163028614
2012-08-05,-73.7349826623901,-40.5864163200911
2012-08-06,-73.7349826760863,-40.5864163273831
2012-08-07,-73.7349827022873,-40.5864162891471
2012-08-08,-73.7349826496505,-40.5864163381426
2012-08-09,-73.7349826744856,-40.5864163248459
2012-08-10,-73.7349827134871,-40.5864163139974
2012-08-11,-73.7349827118013,-40.5864163075262
2012-08-12,-73.7349827398568,-40.586416319512
2012-08-13,-73.7349826858359,-40.5864163299317
2012-08-14,-73.7349827010172,-40.5864163243943
2012-08-15,-73.7349827153101,-40.5864163250435
2012-08-16,-73.7349827083675,-40.5864163047137
2012-08-17,-73.7349826540064,-40.5864163215945
2012-08-18,-73.7349826804815,-40.5864163331293
2012-08-19,-73.7349826987539,-40.5864162952236
2012-08-20,-73.7349826500766,-40.5864163223425
2012-08-21,-73.7349827305111,-40.5864162973181
2012-08-22,-73.7349827195421,-40.586416290382
2012-08-23,-73.7349827053087,-40.5864163098499
2012-08-24,-73.734982683382,-40.5864163090354
2012-08-25,-73.7349826661332,-40.5864163347924
2012-08-26,-73.7349826524069,-40.5864163223006
2012-08-27,-73.7349826779883,-40.5864163133477
2012-08-28,-73.7349826889312,-40.5864162953706
2012-08-29,-73.7349826882798,-40.5864163083387
2012-08-30,-73.7349826614041,-40.5864163084974
2012-08-31,-73.7349826380349,-40.5864163039724
2012-09-01,-73.7349826606376,-40.586416325612
2012-09-02,-73.7349826582862,-40.5864163052366
2012-09-03,-73.7349826843271,-40.5864163122107
2012-09-04,-73.7349826866607,-40.5864162942989
2012-09-05,-73.7349826341946,-40.5864163176629
2012-09-06,-73.7349826344682,-40.5864163092466
2012-09-07,-73.7349826609974,-40.5864163116652
2012-09-08,-73.7349826528357,-40.5864162967396
2012-09-09,-73.7349826323545,-40.5864162901392
2012-09-10,-73.7349825868667,-40.5864163104219
2012-09-11,-73.7349826176077,-40.586416319135
2012-09-12,-73.7349826139061,-40.5864163109243
2012-09-13,-73.7349826068778,-40.586416340429
2012-09-14,-73.7349826951378,-40.5864162870288
2012-09-15,-73.7349826694944,-40.5864163022314
2012-09-16,-73.734982677819,-40.5864163049396
2012-09-17,-73.7349826457686,-40.5864163117248
2012-09-18,-73.7349826303675,-40.5864163176052
2012-09-19,-73.7349826457348,-40.5864163080059
2012-09-20,-73.7349826199538,-40.5864163409428
2012-09-21,-73.7349826313565,-40.5864163120667
2012-09-22,-73.7349826303976,-40.5864163073894
2012-09-23,-73.7349826387984,-40.5864163198912
2012-09-24,-73.7349826010028,-40.5864163266565
2012-09-25,-73.7349826214116,-40.5864163102483
2012-09-26,-73.7349826203574,-40.5864163294721
2012-09-27,-73.73498262547,-40.5864163354473
2012-09-28,-73.7349826253823,-40.5864163039598
2012-09-29,-73.7349826700506,-40.5864162847665
2012-09-30,-73.7349826119103,-40.5864163158947
2012-10-01,-73.734982669986,-40.5864163099601
2012-10-02,-73.7349826290402,-40.5864162920783
2012-10-03,-73.7349826200163,-40.5864163181649
2012-10-04,-73.7349826751843,-40.5864162529604
2012-10-05,-73.7349826404506,-40.5864163118016
2012-10-06,-73.7349826719368,-40.5864163134415
2012-10-07,-73.7349826044328,-40.5864162634362
2012-10-08,-73.7349826413003,-40.5864162993808
2012-10-09,-73.7349826083368,-40.5864162887467
2012-10-10,-73.7349826418192,-40.5864162710751
2012-10-11,-73.7349826380016,-40.5864162875726
2012-10-12,-73.7349826451896,-40.5864163075741
2012-10-13,-73.7349826295638,-40.5864162960384
2012-10-14,-73.7349826221953,-40.5864162854007
2012-10-15,-73.7349826306551,-40.5864162801546
2012-10-16,-73.7349826256894,-40.5864163027377
2012-10-17,-73.7349826691709,-40.5864163439558
2012-10-18,-73.7349826457363,-40.5864163216241
2012-10-19,-73.7349826685655,-40.5864163617764
2012-10-20,-73.7349826085484,-40.5864162915815
2012-10-21,-73.7349825941994,-40.5864163097961
2012-10-22,-73.734982647819,-40.5864163259142
2012-10-23,-73.7349826519752,-40.5864163095878
2012-10-24,-73.7349826623801,-40.5864163138712
2012-10-25,-73.7349826624965,-40.5864163186458
2012-10-26,-73.7349826367169,-40.5864163068162
2012-10-27,-73.7349825798558,-40.5864163116645
2012-10-28,-73.7349826312351,-40.5864163265623
2012-10-29,-73.7349825979863,-40.5864163424872
2012-10-30,-73.7349826260354,-40.5864163209601
2012-10-31,-73.7349826283535,-40.5864163129176
2012-11-01,-73.7349825988802,-40.5864162957361
2012-11-02,-73.7349825739867,-40.586416298111
2012-11-03,-73.7349826357701,-40.5864162979771
2012-11-04,-73.7349826664875,-40.5864162800227
2012-11-05,-73.7349825934137,-40.5864162771742
2012-11-06,-73.7349826236474,-40.5864162806869
2012-11-07,-73.7349826064962,-40.5864162855065
2012-11-08,-73.7349826024969,-40.5864163059783
2012-11-09,-73.7349826006531,-40.5864162892313
2012-11-10,-73.734982606295,-40.5864162821832
2012-11-11,-73.7349826577214,-40.5864162544718
2012-11-12,-73.7349826203957,-40.5864162929617
2012-11-13,-73.7349825848039,-40.5864162966486
2012-11-14,-73.7349826330256,-40.5864163054401
2012-11-15,-73.7349825953596,-40.5864163147866
2012-11-16,-73.7349826069193,-40.5864162819707
2012-11-17,-73.7349826235046,-40.5864163242559
2012-11-18,-73.7349826040697,-40.5864162980847
2012-11-19,-73.7349825976718,-40.5864163141805
2012-11-20,-73.7349825800262,-40.5864163194617
2012-11-21,-73.7349825884499,-40.5864162847798
2012-11-22,-73.734982636383,-40.5864162758029
2012-11-23,-73.7349825981088,-40.5864162574493
2012-11-24,-73.7349825825409,-40.586416273546
2012-11-25,-73.7349826071639,-40.5864162390837
2012-11-26,-73.7349826166972,-40.5864162386086
2012-11-27,-73.7349826095071,-40.5864162580023
2012-11-28,-73.734982565986,-40.5864162854402
2012-11-29,-73.7349826306871,-40.58641626432
2012-11-30,-73.7349826274246,-40.5864162793819
2012-12-01,-73.7349827034809,-40.5864161962355
2012-12-02,-73.7349826923561,-40.5864162337644
2012-12-03,-73.7349826429624,-40.5864162686318
2012-12-04,-73.734982617855,-40.586416263007
2012-12-05,-73.7349826146717,-40.586416259292
2012-12-06,-73.7349826350913,-40.5864162470269
2012-12-07,-73.7349825652206,-40.5864162777073
