"Fecha","Lon","Lat"
2010-03-22,-71.5669053517824,-36.5487317214607
2010-03-23,-71.5669053445474,-36.5487317247263
2010-03-24,-71.5669053882786,-36.5487317256887
2010-03-25,-71.5669053972395,-36.5487317149575
2010-03-26,-71.56690544185,-36.5487317364017
2010-03-27,-71.566905464261,-36.5487317232807
2010-03-28,-71.5669054820118,-36.5487317400987
2010-03-29,-71.5669054869975,-36.5487317215934
2010-03-30,-71.5669055227655,-36.5487317327427
2010-03-31,-71.566905567462,-36.5487316619177
2010-04-01,-71.5669055810097,-36.5487317076834
2010-04-02,-71.5669055578861,-36.5487317095435
2010-04-03,-71.5669055844216,-36.5487317230431
2010-04-04,NA,NA
2010-04-05,-71.5669056245084,-36.548731691592
2010-04-06,-71.5669056649319,-36.548731733977
2010-04-07,-71.5669056638523,-36.5487316983065
2010-04-08,-71.5669056941896,-36.548731695046
2010-04-09,-71.5669056886597,-36.5487316935317
2010-04-10,-71.5669057346451,-36.5487317064568
2010-04-11,-71.5669057357482,-36.5487316888708
2010-04-12,-71.5669057594872,-36.5487316670507
2010-04-13,-71.5669057622866,-36.5487317074333
2010-04-14,-71.5669057843473,-36.5487316784199
2010-04-15,-71.5669058116306,-36.5487316766874
2010-04-16,-71.5669058257967,-36.5487316834549
2010-04-17,-71.5669058412724,-36.5487316926532
2010-04-18,-71.5669058845777,-36.5487316773845
2010-04-19,-71.5669058697115,-36.5487316735589
2010-04-20,-71.5669058769761,-36.5487316760886
2010-04-21,-71.5669058928919,-36.5487316938732
2010-04-22,-71.5669058829434,-36.5487316483641
2010-04-23,-71.5669059164975,-36.548731674501
2010-04-24,-71.5669059343528,-36.5487316626449
2010-04-25,NA,NA
2010-04-26,NA,NA
2010-04-27,NA,NA
2010-04-28,NA,NA
2010-04-29,NA,NA
2010-04-30,NA,NA
2010-05-01,NA,NA
2010-05-02,NA,NA
2010-05-03,NA,NA
2010-05-04,NA,NA
2010-05-05,NA,NA
2010-05-06,NA,NA
2010-05-07,NA,NA
2010-05-08,NA,NA
2010-05-09,NA,NA
2010-05-10,NA,NA
2010-05-11,NA,NA
2010-05-12,NA,NA
2010-05-13,NA,NA
2010-05-14,NA,NA
2010-05-15,NA,NA
2010-05-16,NA,NA
2010-05-17,NA,NA
2010-05-18,NA,NA
2010-05-19,NA,NA
2010-05-20,NA,NA
2010-05-21,NA,NA
2010-05-22,NA,NA
2010-05-23,NA,NA
2010-05-24,NA,NA
2010-05-25,NA,NA
2010-05-26,NA,NA
2010-05-27,NA,NA
2010-05-28,NA,NA
2010-05-29,NA,NA
2010-05-30,NA,NA
2010-05-31,NA,NA
2010-06-01,NA,NA
2010-06-02,NA,NA
2010-06-03,NA,NA
2010-06-04,NA,NA
2010-06-05,NA,NA
2010-06-06,NA,NA
2010-06-07,NA,NA
2010-06-08,NA,NA
2010-06-09,NA,NA
2010-06-10,NA,NA
2010-06-11,NA,NA
2010-06-12,NA,NA
2010-06-13,NA,NA
2010-06-14,NA,NA
2010-06-15,NA,NA
2010-06-16,NA,NA
2010-06-17,NA,NA
2010-06-18,NA,NA
2010-06-19,NA,NA
2010-06-20,NA,NA
2010-06-21,NA,NA
2010-06-22,NA,NA
2010-06-23,NA,NA
2010-06-24,NA,NA
2010-06-25,NA,NA
2010-06-26,NA,NA
2010-06-27,NA,NA
2010-06-28,NA,NA
2010-06-29,NA,NA
2010-06-30,NA,NA
2010-07-01,NA,NA
2010-07-02,NA,NA
2010-07-03,NA,NA
2010-07-04,NA,NA
2010-07-05,NA,NA
2010-07-06,NA,NA
2010-07-07,NA,NA
2010-07-08,NA,NA
2010-07-09,-71.5669066771389,-36.5487315542835
2010-07-10,-71.5669066950317,-36.5487315416653
2010-07-11,-71.5669066926752,-36.548731549804
2010-07-12,-71.5669067006928,-36.5487315437918
2010-07-13,-71.5669067039283,-36.5487315691161
2010-07-14,-71.5669067024947,-36.5487315829268
2010-07-15,-71.5669066357037,-36.5487315464099
2010-07-16,-71.5669067007688,-36.5487315366133
2010-07-17,-71.5669067094596,-36.5487315609349
2010-07-18,-71.5669067288128,-36.5487315444508
2010-07-19,NA,NA
2010-07-20,NA,NA
2010-07-21,NA,NA
2010-07-22,NA,NA
2010-07-23,NA,NA
2010-07-24,NA,NA
2010-07-25,NA,NA
2010-07-26,NA,NA
2010-07-27,NA,NA
2010-07-28,NA,NA
2010-07-29,NA,NA
2010-07-30,NA,NA
2010-07-31,NA,NA
2010-08-01,NA,NA
2010-08-02,-71.5669068322299,-36.5487315338837
2010-08-03,-71.5669067418793,-36.5487315419914
2010-08-04,-71.5669068604787,-36.5487315286208
2010-08-05,-71.5669068527291,-36.5487315241463
2010-08-06,-71.5669068690149,-36.5487315146389
2010-08-07,-71.5669068724056,-36.5487315189469
2010-08-08,-71.56690686634,-36.5487315232248
2010-08-09,-71.5669068697404,-36.5487315269789
2010-08-10,-71.5669068918521,-36.5487315176934
2010-08-11,-71.5669069181481,-36.5487315049513
2010-08-12,-71.566906898197,-36.5487315170302
2010-08-13,-71.5669068702094,-36.5487315318283
2010-08-14,-71.5669068894265,-36.5487315290012
2010-08-15,NA,NA
2010-08-16,NA,NA
2010-08-17,NA,NA
2010-08-18,NA,NA
2010-08-19,NA,NA
2010-08-20,NA,NA
2010-08-21,NA,NA
2010-08-22,NA,NA
2010-08-23,NA,NA
2010-08-24,NA,NA
2010-08-25,NA,NA
2010-08-26,NA,NA
2010-08-27,NA,NA
2010-08-28,NA,NA
2010-08-29,NA,NA
2010-08-30,NA,NA
2010-08-31,NA,NA
2010-09-01,NA,NA
2010-09-02,NA,NA
2010-09-03,NA,NA
2010-09-04,NA,NA
2010-09-05,NA,NA
2010-09-06,NA,NA
2010-09-07,NA,NA
2010-09-08,NA,NA
2010-09-09,NA,NA
2010-09-10,NA,NA
2010-09-11,-71.5669070764965,-36.5487315107212
2010-09-12,-71.5669070778704,-36.548731525723
2010-09-13,-71.5669070837101,-36.5487315117559
2010-09-14,-71.566907111371,-36.5487314883732
2010-09-15,-71.5669071294411,-36.5487314930524
2010-09-16,-71.5669070739291,-36.548731492194
2010-09-17,-71.5669070782325,-36.5487315154581
2010-09-18,-71.5669070861967,-36.5487314946403
2010-09-19,-71.5669071256806,-36.5487314973896
2010-09-20,-71.5669071529955,-36.5487314987227
2010-09-21,-71.5669071287778,-36.548731506646
2010-09-22,-71.5669071199516,-36.5487315087096
2010-09-23,-71.5669071213097,-36.5487315000201
2010-09-24,-71.5669071382523,-36.5487314948874
2010-09-25,-71.5669071515513,-36.5487315051931
2010-09-26,-71.5669071479942,-36.5487314386871
2010-09-27,-71.5669071646221,-36.5487314433792
2010-09-28,-71.5669071479753,-36.5487315043313
2010-09-29,-71.5669072006706,-36.5487314865667
2010-09-30,-71.5669072133096,-36.5487315039936
2010-10-01,-71.5669071899344,-36.5487314934991
2010-10-02,-71.5669071653143,-36.5487315053544
2010-10-03,-71.5669071855399,-36.5487314830617
2010-10-04,-71.5669071714976,-36.5487314788695
2010-10-05,-71.5669071873575,-36.5487315027758
2010-10-06,-71.5669072207242,-36.5487314838577
2010-10-07,-71.566907198516,-36.5487314665975
2010-10-08,-71.5669072313532,-36.5487314440907
2010-10-09,-71.5669072549675,-36.5487314821395
2010-10-10,-71.5669072288649,-36.5487314474612
2010-10-11,-71.5669072723847,-36.5487314646433
2010-10-12,-71.5669072706916,-36.5487314692642
2010-10-13,-71.5669072963273,-36.5487314681355
2010-10-14,-71.566907260932,-36.5487314706684
2010-10-15,-71.5669072678296,-36.5487314817135
2010-10-16,-71.5669072653292,-36.5487314804893
2010-10-17,-71.5669072480993,-36.5487314740525
2010-10-18,-71.5669072519589,-36.5487314757383
2010-10-19,-71.5669072580556,-36.5487314831667
2010-10-20,-71.5669072975863,-36.5487314677127
2010-10-21,-71.5669072969947,-36.5487314827311
2010-10-22,-71.5669072706783,-36.5487314792924
2010-10-23,-71.5669073344009,-36.5487314678079
2010-10-24,-71.5669072916458,-36.548731490444
2010-10-25,-71.5669073276946,-36.548731470479
2010-10-26,-71.5669073599115,-36.5487314434182
2010-10-27,-71.5669073333161,-36.5487314404674
2010-10-28,-71.5669073419195,-36.5487314301476
2010-10-29,-71.5669073556502,-36.5487314612335
2010-10-30,-71.5669073556426,-36.5487314683785
2010-10-31,-71.5669073686816,-36.5487314619169
2010-11-01,-71.56690732895,-36.5487315090875
2010-11-02,-71.5669073394838,-36.5487314602628
2010-11-03,-71.5669073808802,-36.5487314425414
2010-11-04,-71.5669073812177,-36.5487314490664
2010-11-05,-71.5669073927548,-36.5487314761142
2010-11-06,-71.5669073686512,-36.5487314311604
2010-11-07,-71.5669073836949,-36.5487314576517
2010-11-08,-71.5669074023476,-36.5487314586076
2010-11-09,-71.5669073673085,-36.5487314682856
2010-11-10,-71.5669073836762,-36.5487314584125
2010-11-11,-71.566907396072,-36.5487314477827
2010-11-12,-71.5669073860744,-36.5487314466723
2010-11-13,-71.5669073875956,-36.5487314587971
2010-11-14,-71.5669073866143,-36.5487314598458
2010-11-15,-71.5669074211306,-36.5487314357553
2010-11-16,-71.5669074324869,-36.5487314448028
2010-11-17,-71.5669074546516,-36.548731454325
2010-11-18,-71.5669074613709,-36.5487314351419
2010-11-19,-71.5669074412908,-36.5487314380204
2010-11-20,-71.5669074673342,-36.5487314157309
2010-11-21,-71.566907421983,-36.5487314599306
2010-11-22,-71.5669074693928,-36.5487314558168
2010-11-23,-71.5669074765174,-36.5487314595579
2010-11-24,-71.5669074405955,-36.5487314515381
2010-11-25,-71.5669074629328,-36.5487314323379
2010-11-26,-71.5669074775831,-36.5487314478374
2010-11-27,-71.5669074904487,-36.5487314291734
2010-11-28,-71.5669074811946,-36.5487314145065
2010-11-29,-71.566907480474,-36.5487314441206
2010-11-30,-71.5669074707097,-36.5487314440774
2010-12-01,-71.5669074921667,-36.5487314357049
2010-12-02,-71.5669075055087,-36.5487314451591
2010-12-03,-71.5669075336673,-36.548731420561
2010-12-04,-71.5669075165552,-36.5487313843542
2010-12-05,-71.5669075309781,-36.5487314225589
2010-12-06,-71.5669075305176,-36.5487314485865
2010-12-07,-71.5669075273863,-36.5487314208648
2010-12-08,-71.5669075232984,-36.5487314336521
2010-12-09,-71.56690751396,-36.5487314228466
2010-12-10,-71.5669075165738,-36.5487314165998
2010-12-11,-71.5669075463797,-36.5487314296925
2010-12-12,-71.5669075353067,-36.5487314258897
2010-12-13,-71.5669075397678,-36.5487314380675
2010-12-14,-71.566907537848,-36.548731434599
2010-12-15,-71.5669075904516,-36.5487314296543
2010-12-16,-71.5669076135465,-36.5487314207306
2010-12-17,-71.5669075852408,-36.5487314030524
2010-12-18,-71.5669075760086,-36.5487314261987
2010-12-19,-71.5669075978523,-36.5487313909014
2010-12-20,-71.5669076223009,-36.5487314066769
2010-12-21,-71.5669075700833,-36.5487313932964
2010-12-22,-71.5669076030231,-36.5487313982233
2010-12-23,-71.5669075992706,-36.5487313876757
2010-12-24,-71.5669075920467,-36.5487313923162
2010-12-25,-71.5669075709213,-36.5487314062133
2010-12-26,-71.5669076006179,-36.5487314065359
2010-12-27,-71.5669076155446,-36.5487313714473
2010-12-28,-71.5669076239876,-36.5487313860926
2010-12-29,-71.5669075831362,-36.5487313700737
2010-12-30,-71.5669076131455,-36.5487313968204
2010-12-31,-71.5669076176605,-36.5487313761816
2011-01-01,-71.5669076496807,-36.5487313973366
2011-01-02,-71.5669076371295,-36.5487313809324
2011-01-03,-71.5669076337126,-36.5487313935492
2011-01-04,-71.5669076634974,-36.5487314102686
2011-01-05,-71.5669076027823,-36.5487313852523
2011-01-06,-71.5669076256006,-36.548731423212
2011-01-07,-71.5669076234549,-36.5487314110289
2011-01-08,-71.5669076553883,-36.5487313654867
2011-01-09,-71.5669076691311,-36.5487313880742
2011-01-10,-71.5669076020598,-36.5487313718604
2011-01-11,-71.5669076797709,-36.5487313768899
2011-01-12,-71.5669076729546,-36.5487313763514
2011-01-13,-71.5669076815889,-36.5487313870574
2011-01-14,-71.566907668373,-36.5487313906995
2011-01-15,-71.5669076888633,-36.5487313591386
2011-01-16,-71.5669076844676,-36.5487313779376
