"Fecha","Lon","Lat"
2002-12-08,-78.8295133210952,-33.6346626042241
2002-12-09,-78.8295133076053,-33.6346626216286
2002-12-10,NA,NA
2002-12-11,NA,NA
2002-12-12,-78.8295132862009,-33.6346626979622
2002-12-13,-78.8295132889421,-33.6346626037768
2002-12-14,-78.8295133007447,-33.6346625994087
2002-12-15,-78.829513296672,-33.6346626143096
2002-12-16,-78.8295132780554,-33.6346625672057
2002-12-17,-78.829513312347,-33.6346626145605
2002-12-18,NA,NA
2002-12-19,-78.8295132987429,-33.6346625934603
2002-12-20,-78.8295132712277,-33.634662575549
2002-12-21,-78.8295132512542,-33.6346626121272
2002-12-22,-78.8295132701115,-33.6346626070309
2002-12-23,-78.8295132916497,-33.634662594286
2002-12-24,-78.8295132741384,-33.634662621083
2002-12-25,-78.8295132515779,-33.634662618976
2002-12-26,NA,NA
2002-12-27,NA,NA
2002-12-28,NA,NA
2002-12-29,NA,NA
2002-12-30,NA,NA
2002-12-31,NA,NA
2003-01-01,NA,NA
2003-01-02,NA,NA
2003-01-03,NA,NA
2003-01-04,NA,NA
2003-01-05,NA,NA
2003-01-06,NA,NA
2003-01-07,NA,NA
2003-01-08,NA,NA
2003-01-09,NA,NA
2003-01-10,NA,NA
2003-01-11,NA,NA
2003-01-12,NA,NA
2003-01-13,NA,NA
2003-01-14,NA,NA
2003-01-15,NA,NA
2003-01-16,NA,NA
2003-01-17,NA,NA
2003-01-18,NA,NA
2003-01-19,NA,NA
2003-01-20,NA,NA
2003-01-21,NA,NA
2003-01-22,NA,NA
2003-01-23,NA,NA
2003-01-24,NA,NA
2003-01-25,NA,NA
2003-01-26,NA,NA
2003-01-27,NA,NA
2003-01-28,NA,NA
2003-01-29,NA,NA
2003-01-30,NA,NA
2003-01-31,NA,NA
2003-02-01,NA,NA
2003-02-02,NA,NA
2003-02-03,NA,NA
2003-02-04,NA,NA
2003-02-05,NA,NA
2003-02-06,NA,NA
2003-02-07,NA,NA
2003-02-08,NA,NA
2003-02-09,NA,NA
2003-02-10,NA,NA
2003-02-11,NA,NA
2003-02-12,NA,NA
2003-02-13,NA,NA
2003-02-14,NA,NA
2003-02-15,NA,NA
2003-02-16,NA,NA
2003-02-17,NA,NA
2003-02-18,NA,NA
2003-02-19,NA,NA
2003-02-20,NA,NA
2003-02-21,NA,NA
2003-02-22,NA,NA
2003-02-23,NA,NA
2003-02-24,NA,NA
2003-02-25,NA,NA
2003-02-26,NA,NA
2003-02-27,NA,NA
2003-02-28,NA,NA
2003-03-01,NA,NA
2003-03-02,NA,NA
2003-03-03,NA,NA
2003-03-04,NA,NA
2003-03-05,NA,NA
2003-03-06,NA,NA
2003-03-07,NA,NA
2003-03-08,NA,NA
2003-03-09,NA,NA
2003-03-10,NA,NA
2003-03-11,NA,NA
2003-03-12,NA,NA
2003-03-13,NA,NA
2003-03-14,NA,NA
2003-03-15,NA,NA
