"Fecha","Lon","Lat"
2015-06-27,-73.3833598664556,-38.791558660363
2015-06-28,-73.3833598437778,-38.7915586802308
2015-06-29,-73.3833598328244,-38.7915586866495
2015-06-30,-73.3833598548043,-38.7915586560015
2015-07-01,-73.3833598103,-38.7915586314798
2015-07-02,-73.3833598136995,-38.7915586558663
2015-07-03,-73.3833598288277,-38.791558684429
2015-07-04,-73.3833598430991,-38.791558678227
2015-07-05,-73.3833598295293,-38.7915586671288
2015-07-06,-73.3833598400724,-38.7915586682385
2015-07-07,-73.3833598037382,-38.7915586666419
2015-07-08,-73.3833598545281,-38.791558666669
2015-07-09,-73.3833598121288,-38.7915586720246
2015-07-10,-73.3833598440464,-38.7915586765661
2015-07-11,-73.3833597954084,-38.7915586553445
2015-07-12,-73.3833598517565,-38.7915586878883
2015-07-13,-73.3833598476371,-38.791558675798
2015-07-14,-73.3833598388598,-38.7915586760854
2015-07-15,-73.3833598428023,-38.7915586829915
2015-07-16,-73.3833597991765,-38.7915586917688
2015-07-17,-73.3833598179709,-38.7915586553492
2015-07-18,-73.3833598076872,-38.7915586412597
2015-07-19,-73.3833597963757,-38.7915586601236
2015-07-20,-73.3833597878274,-38.7915586579853
2015-07-21,-73.3833598095838,-38.7915586565838
2015-07-22,-73.383359801147,-38.7915586485129
2015-07-23,-73.3833598217683,-38.7915586883646
2015-07-24,-73.3833598105997,-38.7915586398252
2015-07-25,-73.3833598530555,-38.7915586438553
2015-07-26,-73.3833598437998,-38.7915586511952
2015-07-27,-73.3833598571244,-38.7915586506253
2015-07-28,-73.3833598289734,-38.7915586575125
2015-07-29,-73.3833598518853,-38.7915586676197
2015-07-30,-73.3833598491203,-38.7915586654972
2015-07-31,-73.3833598362444,-38.7915586782786
2015-08-01,-73.3833598313413,-38.7915586518971
2015-08-02,-73.3833598236763,-38.7915586674903
2015-08-03,-73.3833598281916,-38.7915586607247
2015-08-04,-73.38335983094,-38.7915586788887
2015-08-05,-73.3833598318565,-38.7915587194218
2015-08-06,-73.3833598195038,-38.7915586635198
2015-08-07,-73.3833598161887,-38.7915586673705
2015-08-08,-73.3833598434414,-38.7915586569911
2015-08-09,-73.3833598310208,-38.7915586566076
2015-08-10,-73.3833598497779,-38.7915586950721
2015-08-11,-73.3833598051578,-38.7915586519886
2015-08-12,-73.3833598129183,-38.7915586686548
2015-08-13,NA,NA
2015-08-14,NA,NA
2015-08-15,NA,NA
2015-08-16,NA,NA
2015-08-17,NA,NA
2015-08-18,NA,NA
2015-08-19,NA,NA
2015-08-20,NA,NA
2015-08-21,NA,NA
2015-08-22,NA,NA
2015-08-23,NA,NA
2015-08-24,NA,NA
2015-08-25,NA,NA
2015-08-26,NA,NA
