"Fecha","Lon","Lat"
2007-01-07,-69.3478340324018,-22.8711371974194
2007-01-08,NA,NA
2007-01-09,-69.3478340832607,-22.8711371778826
2007-01-10,NA,NA
2007-01-11,-69.347834088684,-22.8711371694849
2007-01-12,NA,NA
2007-01-13,NA,NA
2007-01-14,NA,NA
2007-01-15,NA,NA
2007-01-16,NA,NA
2007-01-17,NA,NA
2007-01-18,NA,NA
2007-01-19,NA,NA
2007-01-20,NA,NA
2007-01-21,NA,NA
2007-01-22,NA,NA
2007-01-23,NA,NA
2007-01-24,NA,NA
2007-01-25,NA,NA
2007-01-26,NA,NA
2007-01-27,NA,NA
2007-01-28,NA,NA
2007-01-29,NA,NA
2007-01-30,NA,NA
2007-01-31,NA,NA
2007-02-01,NA,NA
2007-02-02,NA,NA
2007-02-03,NA,NA
2007-02-04,NA,NA
2007-02-05,NA,NA
2007-02-06,NA,NA
2007-02-07,NA,NA
2007-02-08,NA,NA
2007-02-09,NA,NA
2007-02-10,NA,NA
2007-02-11,NA,NA
2007-02-12,NA,NA
2007-02-13,NA,NA
2007-02-14,NA,NA
2007-02-15,NA,NA
2007-02-16,NA,NA
2007-02-17,NA,NA
2007-02-18,NA,NA
2007-02-19,NA,NA
2007-02-20,NA,NA
2007-02-21,NA,NA
2007-02-22,NA,NA
2007-02-23,NA,NA
2007-02-24,NA,NA
2007-02-25,NA,NA
2007-02-26,NA,NA
2007-02-27,NA,NA
2007-02-28,NA,NA
2007-03-01,NA,NA
2007-03-02,NA,NA
2007-03-03,NA,NA
2007-03-04,NA,NA
2007-03-05,NA,NA
2007-03-06,NA,NA
2007-03-07,NA,NA
2007-03-08,NA,NA
2007-03-09,NA,NA
2007-03-10,NA,NA
2007-03-11,NA,NA
2007-03-12,NA,NA
2007-03-13,NA,NA
2007-03-14,NA,NA
2007-03-15,NA,NA
2007-03-16,NA,NA
2007-03-17,NA,NA
2007-03-18,-69.3478340810968,-22.8711371260844
2007-03-19,-69.3478340427841,-22.8711371222178
2007-03-20,-69.3478340515503,-22.8711371212721
2007-03-21,-69.3478340364108,-22.8711371448276
2007-03-22,-69.3478340249122,-22.8711371462177
2007-03-23,-69.3478340397684,-22.8711371195269
2007-03-24,-69.3478340329301,-22.8711371390483
2007-03-25,-69.347834035022,-22.8711371397358
2007-03-26,-69.3478340503564,-22.8711371272442
2007-03-27,-69.3478340377048,-22.8711371398854
2007-03-28,-69.3478340354518,-22.8711371170009
2007-03-29,-69.347834023801,-22.8711371315788
2007-03-30,-69.3478340070878,-22.8711371072286
2007-03-31,-69.3478340149044,-22.8711371315999
2007-04-01,-69.3478340141777,-22.8711371374965
2007-04-02,-69.3478340160332,-22.8711371372138
2007-04-03,-69.3478340283069,-22.8711371469757
2007-04-04,-69.3478340195728,-22.8711371418065
2007-04-05,-69.3478340179879,-22.871137139473
2007-04-06,-69.3478340269217,-22.8711371278318
2007-04-07,-69.347834017075,-22.8711371122333
2007-04-08,-69.3478340200051,-22.8711371073576
2007-04-09,-69.3478340324721,-22.8711371245006
2007-04-10,-69.3478340157274,-22.8711371418621
2007-04-11,-69.3478339894598,-22.8711371486692
2007-04-12,-69.3478340348127,-22.8711371216717
2007-04-13,-69.3478340327803,-22.8711371330744
2007-04-14,-69.3478340171472,-22.8711371359805
2007-04-15,-69.3478340131443,-22.8711371588238
2007-04-16,-69.3478340091982,-22.8711371306269
2007-04-17,-69.3478340172212,-22.8711371362662
2007-04-18,-69.3478340183102,-22.8711371206316
2007-04-19,-69.3478340114803,-22.8711371230047
2007-04-20,-69.3478340160895,-22.8711371481995
2007-04-21,-69.347834005698,-22.8711371224033
2007-04-22,-69.3478340188962,-22.8711371323036
2007-04-23,-69.3478340161862,-22.8711371423333
2007-04-24,-69.3478340306299,-22.8711371356709
2007-04-25,-69.3478340454813,-22.8711371365387
2007-04-26,-69.3478340369624,-22.8711371308982
2007-04-27,-69.3478340041479,-22.8711371211574
2007-04-28,-69.3478340163526,-22.871137127998
2007-04-29,-69.3478340205175,-22.871137132232
2007-04-30,-69.3478340313939,-22.8711371510261
2007-05-01,-69.347834019218,-22.8711371360531
2007-05-02,-69.3478340235566,-22.8711371483123
2007-05-03,-69.347834011983,-22.8711371526012
2007-05-04,-69.3478340206126,-22.8711371210609
2007-05-05,-69.3478340143758,-22.8711371395829
2007-05-06,-69.3478340132001,-22.8711371127079
2007-05-07,-69.3478340287352,-22.8711371415839
2007-05-08,-69.347834008796,-22.8711371425587
2007-05-09,-69.3478340102419,-22.8711371355806
2007-05-10,-69.3478340122187,-22.8711371512102
2007-05-11,-69.3478340136259,-22.871137109561
2007-05-12,-69.347834017416,-22.8711371368673
2007-05-13,-69.3478340209054,-22.8711371293525
2007-05-14,-69.3478339934366,-22.8711371581443
2007-05-15,-69.3478340018402,-22.8711371195886
2007-05-16,-69.3478340191463,-22.8711371114362
2007-05-17,-69.3478340113644,-22.8711371161648
2007-05-18,-69.3478340164811,-22.8711371129128
2007-05-19,-69.3478339892542,-22.8711371346277
2007-05-20,-69.3478339982092,-22.8711371189717
2007-05-21,-69.3478339935344,-22.8711370931889
2007-05-22,-69.3478340073288,-22.8711371068894
2007-05-23,-69.3478339962529,-22.871137091298
2007-05-24,-69.3478340081254,-22.8711371119341
2007-05-25,-69.3478340067501,-22.8711371185738
2007-05-26,-69.3478340072488,-22.871137108165
2007-05-27,-69.3478339971212,-22.8711371076994
2007-05-28,-69.3478340084388,-22.8711371151707
2007-05-29,-69.3478340105734,-22.8711371255998
2007-05-30,-69.3478339962443,-22.8711371202237
2007-05-31,-69.347833990614,-22.8711371157955
2007-06-01,-69.3478339744721,-22.8711371172507
2007-06-02,-69.3478340101651,-22.8711371079342
2007-06-03,-69.3478339956107,-22.8711371379764
2007-06-04,-69.3478340016995,-22.8711371046628
2007-06-05,-69.3478340020833,-22.8711371118563
2007-06-06,-69.3478339796168,-22.8711371304575
2007-06-07,-69.3478339762462,-22.8711371204446
2007-06-08,-69.3478339938663,-22.871137111759
2007-06-09,-69.3478339839689,-22.871137126806
2007-06-10,-69.3478339977983,-22.8711371150371
2007-06-11,-69.3478339887918,-22.8711371302843
2007-06-12,-69.3478340051666,-22.8711371257785
2007-06-13,-69.3478339982649,-22.8711371150807
2007-06-14,-69.347834000942,-22.8711371109101
