"Fecha","Lon","Lat"
2010-05-01,-72.6722863424942,-38.2355775433795
2010-05-02,-72.67228634475,-38.2355775328578
2010-05-03,-72.6722863397159,-38.2355775504413
2010-05-04,-72.6722863754505,-38.235577542481
2010-05-05,-72.6722863979192,-38.2355775163158
2010-05-06,-72.6722863878891,-38.2355775237934
2010-05-07,-72.6722863964077,-38.2355775072535
2010-05-08,-72.6722864079655,-38.23557751097
2010-05-09,-72.6722863999274,-38.2355775324898
2010-05-10,-72.6722864381745,-38.2355775135861
2010-05-11,-72.6722864454071,-38.235577521999
2010-05-12,-72.6722864635827,-38.23557751751
2010-05-13,-72.672286466758,-38.2355775156172
2010-05-14,-72.6722864728754,-38.2355775223096
2010-05-15,-72.6722864432064,-38.2355775242269
2010-05-16,-72.6722864774834,-38.2355775301999
2010-05-17,-72.6722864817465,-38.2355775122725
2010-05-18,-72.672286460092,-38.2355775305225
2010-05-19,-72.6722864683989,-38.2355775341028
2010-05-20,-72.6722864843221,-38.235577512423
2010-05-21,-72.6722864879893,-38.23557750267
2010-05-22,-72.6722865039041,-38.2355775107501
2010-05-23,-72.6722865147476,-38.2355775120216
2010-05-24,-72.6722865020829,-38.235577519513
2010-05-25,-72.6722865178598,-38.2355775416348
2010-05-26,-72.6722865391418,-38.2355775064311
2010-05-27,-72.6722865326721,-38.235577495451
2010-05-28,-72.6722865525006,-38.2355774776449
2010-05-29,-72.6722865443921,-38.2355774954577
2010-05-30,-72.6722865481103,-38.2355775155058
2010-05-31,-72.6722865283707,-38.2355775099382
2010-06-01,-72.6722865444806,-38.2355774974469
2010-06-02,-72.6722865942281,-38.2355775030201
2010-06-03,-72.6722865612334,-38.2355775066556
2010-06-04,-72.6722865665115,-38.2355775007514
2010-06-05,-72.6722865643134,-38.2355775212144
2010-06-06,-72.6722865903359,-38.2355775029244
2010-06-07,-72.6722865693544,-38.2355774895513
2010-06-08,-72.6722865709827,-38.235577499911
2010-06-09,-72.6722865949549,-38.2355774795902
2010-06-10,-72.6722865926641,-38.2355774939516
2010-06-11,-72.6722865918902,-38.2355775050477
2010-06-12,-72.6722866319304,-38.235577491685
2010-06-13,-72.6722866127974,-38.2355774990304
2010-06-14,-72.6722866430959,-38.2355775233055
2010-06-15,-72.6722866385842,-38.2355775143553
2010-06-16,-72.6722866227881,-38.2355775267853
2010-06-17,-72.6722866589492,-38.2355775080104
2010-06-18,NA,NA
2010-06-19,NA,NA
2010-06-20,NA,NA
2010-06-21,NA,NA
2010-06-22,NA,NA
2010-06-23,NA,NA
2010-06-24,NA,NA
2010-06-25,NA,NA
2010-06-26,NA,NA
2010-06-27,NA,NA
2010-06-28,NA,NA
2010-06-29,NA,NA
2010-06-30,NA,NA
2010-07-01,NA,NA
2010-07-02,NA,NA
2010-07-03,NA,NA
2010-07-04,NA,NA
2010-07-05,NA,NA
2010-07-06,NA,NA
2010-07-07,NA,NA
2010-07-08,NA,NA
2010-07-09,NA,NA
2010-07-10,NA,NA
2010-07-11,NA,NA
2010-07-12,NA,NA
2010-07-13,NA,NA
2010-07-14,NA,NA
2010-07-15,NA,NA
2010-07-16,NA,NA
2010-07-17,NA,NA
2010-07-18,NA,NA
2010-07-19,NA,NA
2010-07-20,NA,NA
2010-07-21,NA,NA
2010-07-22,NA,NA
2010-07-23,NA,NA
2010-07-24,NA,NA
2010-07-25,NA,NA
2010-07-26,NA,NA
2010-07-27,NA,NA
2010-07-28,NA,NA
2010-07-29,NA,NA
2010-07-30,NA,NA
2010-07-31,NA,NA
2010-08-01,NA,NA
2010-08-02,NA,NA
2010-08-03,NA,NA
2010-08-04,NA,NA
2010-08-05,NA,NA
2010-08-06,NA,NA
2010-08-07,NA,NA
2010-08-08,NA,NA
2010-08-09,NA,NA
2010-08-10,NA,NA
2010-08-11,NA,NA
2010-08-12,NA,NA
2010-08-13,NA,NA
2010-08-14,NA,NA
2010-08-15,NA,NA
2010-08-16,NA,NA
2010-08-17,NA,NA
2010-08-18,NA,NA
2010-08-19,NA,NA
2010-08-20,NA,NA
2010-08-21,NA,NA
2010-08-22,NA,NA
2010-08-23,NA,NA
2010-08-24,NA,NA
2010-08-25,NA,NA
2010-08-26,NA,NA
2010-08-27,NA,NA
2010-08-28,NA,NA
2010-08-29,NA,NA
2010-08-30,NA,NA
2010-08-31,NA,NA
2010-09-01,NA,NA
2010-09-02,NA,NA
2010-09-03,NA,NA
2010-09-04,NA,NA
2010-09-05,NA,NA
2010-09-06,NA,NA
2010-09-07,NA,NA
2010-09-08,NA,NA
2010-09-09,NA,NA
2010-09-10,NA,NA
2010-09-11,NA,NA
2010-09-12,NA,NA
2010-09-13,NA,NA
2010-09-14,NA,NA
2010-09-15,NA,NA
2010-09-16,NA,NA
2010-09-17,NA,NA
2010-09-18,NA,NA
2010-09-19,NA,NA
2010-09-20,NA,NA
2010-09-21,NA,NA
2010-09-22,NA,NA
2010-09-23,NA,NA
2010-09-24,NA,NA
2010-09-25,NA,NA
2010-09-26,NA,NA
2010-09-27,NA,NA
2010-09-28,NA,NA
2010-09-29,NA,NA
2010-09-30,NA,NA
2010-10-01,NA,NA
2010-10-02,NA,NA
2010-10-03,NA,NA
2010-10-04,NA,NA
2010-10-05,NA,NA
2010-10-06,NA,NA
2010-10-07,NA,NA
2010-10-08,NA,NA
2010-10-09,NA,NA
2010-10-10,NA,NA
2010-10-11,NA,NA
2010-10-12,NA,NA
2010-10-13,NA,NA
2010-10-14,NA,NA
2010-10-15,NA,NA
2010-10-16,NA,NA
2010-10-17,NA,NA
2010-10-18,NA,NA
2010-10-19,NA,NA
2010-10-20,NA,NA
2010-10-21,NA,NA
2010-10-22,NA,NA
2010-10-23,NA,NA
2010-10-24,NA,NA
2010-10-25,NA,NA
2010-10-26,NA,NA
2010-10-27,NA,NA
2010-10-28,NA,NA
2010-10-29,NA,NA
2010-10-30,NA,NA
2010-10-31,NA,NA
2010-11-01,NA,NA
2010-11-02,NA,NA
2010-11-03,NA,NA
2010-11-04,NA,NA
2010-11-05,NA,NA
2010-11-06,NA,NA
2010-11-07,NA,NA
2010-11-08,NA,NA
2010-11-09,NA,NA
2010-11-10,NA,NA
2010-11-11,NA,NA
2010-11-12,NA,NA
2010-11-13,NA,NA
2010-11-14,NA,NA
2010-11-15,NA,NA
2010-11-16,NA,NA
2010-11-17,NA,NA
2010-11-18,NA,NA
2010-11-19,NA,NA
2010-11-20,NA,NA
2010-11-21,NA,NA
2010-11-22,NA,NA
2010-11-23,NA,NA
2010-11-24,NA,NA
2010-11-25,NA,NA
2010-11-26,NA,NA
2010-11-27,NA,NA
2010-11-28,NA,NA
2010-11-29,NA,NA
2010-11-30,NA,NA
2010-12-01,NA,NA
2010-12-02,NA,NA
2010-12-03,NA,NA
2010-12-04,NA,NA
2010-12-05,NA,NA
2010-12-06,NA,NA
2010-12-07,NA,NA
2010-12-08,NA,NA
2010-12-09,NA,NA
2010-12-10,NA,NA
2010-12-11,NA,NA
2010-12-12,NA,NA
2010-12-13,NA,NA
2010-12-14,NA,NA
2010-12-15,NA,NA
2010-12-16,NA,NA
2010-12-17,NA,NA
2010-12-18,NA,NA
2010-12-19,NA,NA
2010-12-20,NA,NA
2010-12-21,NA,NA
2010-12-22,NA,NA
2010-12-23,NA,NA
2010-12-24,NA,NA
2010-12-25,NA,NA
2010-12-26,NA,NA
2010-12-27,NA,NA
2010-12-28,NA,NA
2010-12-29,NA,NA
2010-12-30,NA,NA
2010-12-31,NA,NA
2011-01-01,NA,NA
2011-01-02,NA,NA
2011-01-03,NA,NA
2011-01-04,NA,NA
2011-01-05,NA,NA
2011-01-06,NA,NA
2011-01-07,NA,NA
2011-01-08,NA,NA
2011-01-09,NA,NA
2011-01-10,NA,NA
2011-01-11,NA,NA
2011-01-12,NA,NA
2011-01-13,NA,NA
2011-01-14,NA,NA
2011-01-15,NA,NA
2011-01-16,NA,NA
2011-01-17,NA,NA
2011-01-18,NA,NA
2011-01-19,NA,NA
2011-01-20,NA,NA
2011-01-21,NA,NA
2011-01-22,NA,NA
2011-01-23,NA,NA
2011-01-24,NA,NA
2011-01-25,NA,NA
2011-01-26,NA,NA
2011-01-27,NA,NA
2011-01-28,NA,NA
2011-01-29,NA,NA
2011-01-30,NA,NA
2011-01-31,NA,NA
2011-02-01,NA,NA
2011-02-02,NA,NA
2011-02-03,NA,NA
2011-02-04,NA,NA
2011-02-05,NA,NA
2011-02-06,NA,NA
2011-02-07,NA,NA
2011-02-08,NA,NA
2011-02-09,NA,NA
2011-02-10,NA,NA
2011-02-11,NA,NA
2011-02-12,NA,NA
2011-02-13,NA,NA
2011-02-14,NA,NA
2011-02-15,NA,NA
2011-02-16,NA,NA
2011-02-17,NA,NA
2011-02-18,NA,NA
2011-02-19,NA,NA
2011-02-20,NA,NA
2011-02-21,NA,NA
2011-02-22,NA,NA
2011-02-23,NA,NA
2011-02-24,NA,NA
2011-02-25,NA,NA
2011-02-26,NA,NA
2011-02-27,NA,NA
2011-02-28,-72.6722876535834,-38.2355774340567
2011-03-01,-72.6722876252543,-38.2355774273927
2011-03-02,-72.6722876970917,-38.2355774070072
2011-03-03,-72.6722876791885,-38.2355773850533
2011-03-04,-72.6722876739856,-38.235577418415
2011-03-05,-72.672287675092,-38.2355774218187
2011-03-06,-72.6722876698332,-38.2355773983187
2011-03-07,-72.6722876817418,-38.2355774098348
2011-03-08,-72.6722876674252,-38.2355774145757
2011-03-09,-72.6722876676446,-38.2355774099885
2011-03-10,-72.6722876722286,-38.2355774169761
2011-03-11,-72.6722876858097,-38.2355774424374
2011-03-12,-72.6722876926396,-38.2355774057125
2011-03-13,-72.6722876954353,-38.2355774027442
2011-03-14,-72.6722876723851,-38.2355774348752
2011-03-15,-72.6722876764745,-38.2355774281231
2011-03-16,-72.6722876949407,-38.2355773993333
2011-03-17,-72.6722876937506,-38.2355774117619
2011-03-18,-72.6722876913107,-38.2355774056524
2011-03-19,-72.672287708907,-38.2355774096329
2011-03-20,-72.6722876606309,-38.2355773999828
2011-03-21,-72.6722877041489,-38.2355774242045
2011-03-22,-72.6722876815311,-38.2355774034832
2011-03-23,-72.672287689152,-38.2355774113599
2011-03-24,-72.6722876787802,-38.2355773677673
2011-03-25,-72.6722877255246,-38.2355773786106
2011-03-26,-72.6722876650289,-38.2355774138289
2011-03-27,-72.6722876851625,-38.2355774148818
2011-03-28,-72.6722876891266,-38.2355773671702
2011-03-29,-72.6722876981237,-38.2355773909201
2011-03-30,-72.6722877239572,-38.2355773798999
2011-03-31,-72.6722877189687,-38.2355773956988
2011-04-01,-72.6722877075141,-38.2355773910186
2011-04-02,-72.6722877305715,-38.2355773732844
2011-04-03,-72.6722876968811,-38.2355774055025
2011-04-04,-72.6722877419621,-38.2355773971117
2011-04-05,-72.6722876966859,-38.2355774045994
2011-04-06,-72.672287688017,-38.2355774276431
2011-04-07,-72.6722877506529,-38.2355774275427
2011-04-08,-72.672287709643,-38.2355773818162
2011-04-09,-72.6722877360178,-38.2355774018874
2011-04-10,-72.6722876945514,-38.2355774223354
2011-04-11,-72.6722876980438,-38.2355774197011
2011-04-12,-72.6722876994888,-38.2355774438176
2011-04-13,-72.6722877501866,-38.2355774403942
2011-04-14,-72.6722877255642,-38.2355774080393
2011-04-15,-72.6722877239429,-38.235577377774
2011-04-16,-72.6722877194069,-38.2355773821959
2011-04-17,-72.6722877402441,-38.2355773692591
2011-04-18,-72.67228774417,-38.2355773686076
2011-04-19,-72.67228776546,-38.2355773754684
2011-04-20,-72.6722877451027,-38.2355773480412
2011-04-21,-72.6722877750316,-38.2355773768923
2011-04-22,-72.6722877869285,-38.235577386552
