"Fecha","Lon","Lat"
2010-01-01,-72.3447671306481,-37.4723027778315
2010-01-02,-72.3447671481937,-37.4723027917502
2010-01-03,-72.3447671325185,-37.4723027818919
2010-01-04,-72.3447671203917,-37.4723027952965
2010-01-05,-72.3447671244633,-37.4723027993905
2010-01-06,-72.3447671368757,-37.4723027999251
2010-01-07,-72.3447671443469,-37.4723027742323
2010-01-08,-72.3447671356761,-37.4723027666551
2010-01-09,-72.3447671705772,-37.4723028049979
2010-01-10,-72.3447671289012,-37.4723028028916
2010-01-11,-72.3447671415479,-37.4723027811523
2010-01-12,-72.3447671408625,-37.4723027840244
2010-01-13,-72.3447671328584,-37.4723027642387
2010-01-14,-72.3447671287965,-37.4723027740854
2010-01-15,-72.3447671244286,-37.4723027613561
2010-01-16,-72.3447671406921,-37.4723027623772
2010-01-17,-72.344767144657,-37.4723027678456
2010-01-18,-72.3447671263028,-37.4723027860446
2010-01-19,-72.3447671378401,-37.4723027576635
2010-01-20,-72.3447671154955,-37.4723027780076
2010-01-21,-72.3447671286829,-37.4723028122954
2010-01-22,-72.3447671249944,-37.472302785445
2010-01-23,-72.3447671162706,-37.4723027734853
2010-01-24,-72.3447671153766,-37.4723027796671
2010-01-25,-72.3447671105918,-37.4723027776513
2010-01-26,-72.3447671171995,-37.4723027915441
2010-01-27,-72.3447670973878,-37.4723027567328
2010-01-28,-72.3447671305035,-37.4723027488419
2010-01-29,-72.3447671325501,-37.4723027783136
2010-01-30,-72.3447671247161,-37.4723027921689
2010-01-31,-72.3447671217842,-37.4723027852177
2010-02-01,-72.3447671315565,-37.4723027911446
2010-02-02,-72.3447671218159,-37.4723027622042
2010-02-03,-72.3447671388135,-37.4723027621392
2010-02-04,-72.3447671311619,-37.4723027787528
2010-02-05,-72.3447671180648,-37.4723027760153
2010-02-06,-72.3447670876253,-37.4723027570859
2010-02-07,-72.3447670957738,-37.4723027869966
2010-02-08,-72.3447671136205,-37.4723027636847
2010-02-09,-72.3447671232619,-37.4723027554477
2010-02-10,-72.3447671208296,-37.4723027615111
2010-02-11,-72.344767140045,-37.4723027752528
2010-02-12,-72.3447671164048,-37.4723027398088
2010-02-13,-72.3447671167351,-37.4723027698254
2010-02-14,-72.344767125348,-37.4723027583941
2010-02-15,-72.3447671287366,-37.4723027866791
2010-02-16,-72.3447671096527,-37.4723027733578
2010-02-17,-72.3447671227846,-37.472302779135
2010-02-18,-72.3447671166026,-37.4723027653608
2010-02-19,-72.3447671134576,-37.4723027854752
2010-02-20,-72.3447671104196,-37.4723027588323
2010-02-21,-72.3447671146554,-37.4723027764047
2010-02-22,-72.3447671076517,-37.472302790193
2010-02-23,-72.3447670950418,-37.4723027825804
2010-02-24,-72.3447670740218,-37.4723027743686
2010-02-25,-72.344767089363,-37.472302749064
2010-02-26,-72.3447670831794,-37.4723027730923
2010-02-27,-72.3447825682143,-37.4723010794458
2010-02-28,-72.3447839712412,-37.4723012651722
2010-03-01,-72.3447841824052,-37.4723012342404
2010-03-02,-72.3447843385407,-37.4723012447164
2010-03-03,NA,NA
2010-03-04,NA,NA
2010-03-05,-72.3447845795423,-37.4723012627151
2010-03-06,NA,NA
2010-03-07,-72.3447847599463,-37.4723012784792
2010-03-08,-72.3447847784472,-37.4723012501523
2010-03-09,-72.3447848249764,-37.4723012688538
2010-03-10,-72.3447848630354,-37.4723012744829
2010-03-11,-72.3447849197032,-37.4723012792614
2010-03-12,-72.3447849625235,-37.4723012672843
2010-03-13,-72.3447849924477,-37.4723012831546
2010-03-14,NA,NA
2010-03-15,NA,NA
2010-03-16,NA,NA
2010-03-17,NA,NA
2010-03-18,NA,NA
2010-03-19,-72.3447851876318,-37.4723012632943
2010-03-20,-72.3447852073671,-37.4723012605014
2010-03-21,-72.3447852324465,-37.4723012426375
2010-03-22,-72.3447852374639,-37.4723012218551
2010-03-23,NA,NA
2010-03-24,NA,NA
2010-03-25,NA,NA
2010-03-26,-72.3447853765835,-37.4723012807239
2010-03-27,-72.3447853795668,-37.4723012502366
2010-03-28,-72.3447853873361,-37.4723012655623
2010-03-29,-72.3447853795053,-37.4723012530462
2010-03-30,-72.3447854038501,-37.4723012910213
2010-03-31,-72.3447854462918,-37.4723012428229
2010-04-01,-72.3447854754411,-37.4723012630084
2010-04-02,-72.3447854509434,-37.472301255252
2010-04-03,-72.3447854641445,-37.4723012695789
2010-04-04,NA,NA
2010-04-05,NA,NA
2010-04-06,NA,NA
2010-04-07,-72.3447855335521,-37.4723012471632
2010-04-08,-72.3447855549988,-37.4723012500175
2010-04-09,-72.3447855690725,-37.4723012565238
2010-04-10,-72.3447855796044,-37.472301268324
2010-04-11,-72.3447856027041,-37.4723012703302
2010-04-12,-72.3447856216685,-37.4723012341281
2010-04-13,-72.3447856283787,-37.472301265107
2010-04-14,-72.3447856522706,-37.4723012645965
2010-04-15,-72.3447856829197,-37.4723012786971
2010-04-16,-72.3447856945335,-37.4723012723089
2010-04-17,-72.3447857011206,-37.4723012810618
2010-04-18,-72.3447857305812,-37.4723012570541
2010-04-19,-72.3447857296422,-37.4723012703597
2010-04-20,-72.3447857237459,-37.472301281683
2010-04-21,-72.3447857540653,-37.4723012935518
2010-04-22,NA,NA
2010-04-23,-72.3447857748428,-37.4723012576054
2010-04-24,-72.3447857916188,-37.4723012536872
2010-04-25,-72.3447858001613,-37.472301270961
2010-04-26,-72.344785830002,-37.4723012934844
2010-04-27,-72.3447858295744,-37.4723012753513
2010-04-28,-72.3447858365422,-37.4723012921788
2010-04-29,-72.3447858526337,-37.4723012690768
2010-04-30,-72.3447858899685,-37.4723012625444
2010-05-01,-72.3447858773565,-37.4723012743566
2010-05-02,-72.3447858888739,-37.4723012770026
2010-05-03,-72.344785878064,-37.4723012910827
2010-05-04,-72.3447859273764,-37.4723012643809
2010-05-05,-72.3447859452318,-37.4723012530715
2010-05-06,-72.3447859390427,-37.4723012577691
2010-05-07,-72.3447859416706,-37.4723012628688
2010-05-08,-72.3447859760149,-37.4723012680009
2010-05-09,-72.3447859736067,-37.4723012689584
2010-05-10,-72.3447860099373,-37.4723012539618
2010-05-11,-72.3447860163664,-37.4723012581617
2010-05-12,-72.3447860331344,-37.4723012717543
2010-05-13,-72.3447860349775,-37.4723012638546
2010-05-14,-72.3447860354953,-37.4723012668605
2010-05-15,-72.3447860363657,-37.4723012668105
2010-05-16,-72.344786056069,-37.472301269128
2010-05-17,-72.3447860558359,-37.4723012542741
2010-05-18,-72.3447860434742,-37.4723012596923
2010-05-19,-72.3447860812626,-37.4723012655922
2010-05-20,-72.3447860894227,-37.4723012469675
2010-05-21,-72.3447860802365,-37.4723012381943
2010-05-22,-72.3447861029114,-37.4723012561192
2010-05-23,-72.3447861194114,-37.4723012523456
2010-05-24,-72.3447861180262,-37.4723012604132
2010-05-25,-72.3447861246847,-37.4723012651899
2010-05-26,NA,NA
2010-05-27,NA,NA
2010-05-28,-72.344786179209,-37.4723012404848
2010-05-29,-72.3447861810449,-37.4723012535991
2010-05-30,-72.3447861791195,-37.4723012628103
2010-05-31,-72.3447861563794,-37.4723012533548
2010-06-01,-72.3447861751798,-37.4723012565381
2010-06-02,-72.3447862091337,-37.4723012367725
2010-06-03,-72.3447862073632,-37.4723012566741
2010-06-04,-72.3447862074565,-37.4723012541645
2010-06-05,-72.3447862141702,-37.4723012596224
2010-06-06,-72.3447862466669,-37.4723012574715
2010-06-07,-72.3447862285328,-37.4723012617728
2010-06-08,-72.3447862309018,-37.4723012727927
2010-06-09,-72.3447862579107,-37.4723012497538
2010-06-10,-72.3447862597867,-37.4723012528425
2010-06-11,-72.3447862620373,-37.4723012406311
2010-06-12,-72.3447862803731,-37.4723012491307
2010-06-13,-72.3447862924836,-37.4723012560238
2010-06-14,-72.3447863114795,-37.4723012562769
2010-06-15,-72.3447863207428,-37.472301257658
2010-06-16,-72.3447863121375,-37.4723012688232
2010-06-17,-72.344786339205,-37.4723012587126
2010-06-18,-72.3447863391603,-37.4723012552911
2010-06-19,-72.3447863603087,-37.4723012598153
2010-06-20,-72.3447863598498,-37.4723012641739
2010-06-21,-72.3447863612306,-37.4723012398543
2010-06-22,-72.3447863557503,-37.4723012355616
2010-06-23,-72.3447863716769,-37.4723012166118
2010-06-24,-72.3447863932346,-37.4723012399597
2010-06-25,-72.3447863746146,-37.4723012437136
2010-06-26,-72.3447863923603,-37.4723012546723
2010-06-27,-72.3447864021276,-37.4723012378103
2010-06-28,-72.3447863859452,-37.4723012294723
2010-06-29,-72.3447864227578,-37.4723012400737
2010-06-30,-72.344786410535,-37.4723012425259
2010-07-01,-72.3447864080394,-37.4723012518175
2010-07-02,-72.3447864228391,-37.4723012499041
2010-07-03,-72.3447864412253,-37.4723012359836
2010-07-04,-72.3447864408718,-37.472301276129
2010-07-05,-72.3447864287448,-37.4723012856223
2010-07-06,-72.3447864278893,-37.4723012708445
2010-07-07,-72.3447864622961,-37.472301258772
2010-07-08,-72.3447864471216,-37.4723012410953
2010-07-09,-72.3447864559477,-37.4723012448969
2010-07-10,-72.3447864791868,-37.4723012635829
2010-07-11,-72.3447864819519,-37.4723012821221
2010-07-12,-72.3447864765466,-37.4723012525797
2010-07-13,-72.3447864919939,-37.472301262303
2010-07-14,-72.3447864994788,-37.4723012770326
2010-07-15,-72.344786516105,-37.4723012702492
2010-07-16,-72.3447865255787,-37.4723012681472
2010-07-17,-72.3447865148663,-37.4723012597769
2010-07-18,-72.3447865257779,-37.4723012568212
2010-07-19,-72.3447865449179,-37.472301254309
2010-07-20,-72.3447865561372,-37.4723012642118
2010-07-21,-72.3447865661524,-37.4723012805015
2010-07-22,-72.3447865509947,-37.4723012783666
2010-07-23,-72.3447865281702,-37.4723012457225
2010-07-24,-72.344786563508,-37.472301245127
2010-07-25,-72.3447865787806,-37.4723012720135
2010-07-26,-72.3447865778356,-37.4723012713188
2010-07-27,-72.3447865853664,-37.4723012801413
2010-07-28,-72.3447865902022,-37.4723012558272
2010-07-29,-72.3447866101995,-37.4723012476914
2010-07-30,-72.3447866269318,-37.4723012480078
2010-07-31,-72.3447865960686,-37.4723012740333
2010-08-01,-72.3447866163879,-37.4723012846694
2010-08-02,-72.3447866297661,-37.4723012509856
2010-08-03,-72.3447866167705,-37.4723012598753
2010-08-04,-72.34478663355,-37.4723012457699
2010-08-05,-72.3447866407602,-37.4723012681471
2010-08-06,-72.3447866578705,-37.4723012645225
2010-08-07,-72.3447866533312,-37.472301250765
2010-08-08,-72.3447866563137,-37.4723012470247
2010-08-09,-72.3447866583845,-37.4723012529273
2010-08-10,-72.3447866736221,-37.4723012549231
2010-08-11,-72.3447866835015,-37.4723012515538
2010-08-12,-72.34478666487,-37.472301259896
2010-08-13,-72.3447866648007,-37.4723012493108
2010-08-14,-72.3447866729173,-37.4723012426783
2010-08-15,-72.3447866877527,-37.4723012363189
2010-08-16,-72.344786694614,-37.4723012424592
2010-08-17,-72.344786706003,-37.4723012400209
2010-08-18,-72.3447867024383,-37.4723012490155
2010-08-19,-72.3447867015179,-37.4723012353145
2010-08-20,-72.3447867036042,-37.472301224104
2010-08-21,-72.3447867261386,-37.4723012430151
2010-08-22,-72.3447867196092,-37.4723012488165
2010-08-23,-72.3447867097354,-37.4723012476855
2010-08-24,-72.3447867584102,-37.4723012518279
2010-08-25,-72.3447867187276,-37.4723012437276
2010-08-26,-72.3447867461212,-37.4723012316772
2010-08-27,-72.3447867863822,-37.4723012249202
2010-08-28,-72.3447867392109,-37.4723012561476
2010-08-29,-72.3447867774423,-37.4723012435478
2010-08-30,-72.3447867660056,-37.4723012567287
2010-08-31,-72.3447867812286,-37.4723012636375
2010-09-01,-72.344786769029,-37.4723012461802
2010-09-02,-72.3447867720154,-37.4723012603289
2010-09-03,-72.3447867776717,-37.4723012531852
2010-09-04,-72.3447867773515,-37.4723012554834
2010-09-05,-72.3447867994155,-37.4723012677819
2010-09-06,-72.3447868083621,-37.4723012497376
2010-09-07,-72.3447867997253,-37.4723012651267
2010-09-08,-72.3447868164085,-37.4723012498632
2010-09-09,-72.3447868236567,-37.4723012637244
2010-09-10,-72.3447868325813,-37.472301257304
2010-09-11,-72.3447868415514,-37.4723012632719
2010-09-12,-72.3447868462517,-37.4723012774537
2010-09-13,-72.3447868599449,-37.4723012751271
2010-09-14,-72.344786851954,-37.4723012470634
2010-09-15,-72.3447868676195,-37.4723012500776
2010-09-16,-72.3447868391024,-37.4723012526875
2010-09-17,-72.3447868445997,-37.4723012778358
2010-09-18,-72.3447868609795,-37.4723012498121
2010-09-19,-72.3447868843588,-37.4723012617196
2010-09-20,-72.3447868910413,-37.4723012568183
2010-09-21,-72.3447868861973,-37.4723012507589
2010-09-22,-72.3447868783254,-37.4723012602293
2010-09-23,-72.344786905348,-37.4723012725684
2010-09-24,-72.3447868952804,-37.4723012412909
2010-09-25,-72.3447869017864,-37.4723012564883
2010-09-26,-72.3447869015438,-37.4723012455187
2010-09-27,-72.3447869236033,-37.4723012307206
2010-09-28,-72.3447869097039,-37.4723012581555
2010-09-29,-72.3447869649496,-37.4723012508606
2010-09-30,-72.3447869338152,-37.4723012570036
2010-10-01,-72.3447869412228,-37.4723012355053
2010-10-02,-72.3447869152373,-37.4723012792668
2010-10-03,-72.344786924548,-37.4723012504667
2010-10-04,-72.3447869335867,-37.4723012354114
2010-10-05,-72.3447869438511,-37.4723012612505
